,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Weekly,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Weekly,en_allocation_status_Weekly,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Weekly,Week_switch,Modified_NRD,next_refresh_date_Weekly,en_account_type_Weekly,next_refresh_base_gallons_Weekly,remaining_gallons_Weekly,additional_gallons_allowed_Weekly,additional_gallons_remaining_Weekly,staging_id_Weekly,execution_date_Weekly,customer_name_Weekly,base_gallons_Daily,base_gallons_Monthly,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,beginning_gallons_Daily,beginning_gallons_Monthly,en_allocation_status_Daily,en_allocation_status_Monthly,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,alerts_ratability_Daily,alerts_ratability_Monthly,next_refresh_date_Daily,next_refresh_date_Monthly,NRB_Daily,next_refresh_base_gallons_Daily,NRB_Monthly,next_refresh_base_gallons_Monthly,remaining_gallons_Daily,remaining_gallons_Monthly,additional_gallons_allowed_Daily,additional_gallons_allowed_Monthly,additional_gallons_remaining_Daily,additional_gallons_remaining_Monthly,execution_date_Daily,execution_date_Monthly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2015-06-01,2015-06-01 00:00:00,Husky,MANSFIELD ULSD CLEVE/AKRON,MANSFIELD ULSD CONTRACT- CLEVE/AKRON,Diesel,48462,22600,1,w1,0,0,0,48462,Available,100%,100,Above Trend,w1,0,2015-06-05 00:00:00,Contract,-1,25862,0,0,191175,2015-06-01 05:51:12,Mansfield,0,0,1,0,3,15000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48462,0,0,48462,False,True,0,True,0,0,0,0,48462,-1,-1,-1,-1,-1,0,48462.0,6923.0,207690.0,-1,0,1
2015-06-02,2015-06-02 00:00:00,Husky,MANSFIELD ULSD CLEVE/AKRON,MANSFIELD ULSD CONTRACT- CLEVE/AKRON,Diesel,48462,37600,1,w1,0,0,0,48462,Available,100%,100,Above Trend,w1,0,2015-06-05 00:00:00,Contract,-1,10862,0,0,196354,2015-06-02 02:03:52,Mansfield,0,0,1,0,3,15000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48462,0,0,48462,False,True,0,True,0,0,0,0,48462,-1,-1,-1,-1,-1,0,48462.0,6923.0,207690.0,-1,0,1
2015-06-03,2015-06-03 00:00:00,Husky,MANSFIELD ULSD CLEVE/AKRON,MANSFIELD ULSD CONTRACT- CLEVE/AKRON,Diesel,48462,52600,1,w1,0,0,0,48462,Out,100%,100,Above Trend,w1,0,2015-06-05 00:00:00,Contract,-1,-4138,0,0,201404,2015-06-03 01:44:22,Mansfield,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48462,0,0,48462,False,True,0,True,0,0,0,0,48462,-1,-1,-1,-1,-1,0,48462.0,6923.0,207690.0,-1,0,1
2015-06-04,2015-06-04 00:00:00,Husky,MANSFIELD ULSD CLEVE/AKRON,MANSFIELD ULSD CONTRACT- CLEVE/AKRON,Diesel,48462,52600,1,w1,0,0,0,48462,Out,100%,100,Above Trend,w1,0,2015-06-05 00:00:00,Contract,-1,-4138,0,0,206463,2015-06-04 06:07:22,Mansfield,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48462,0,0,48462,False,True,0,True,0,0,0,0,48462,-1,-1,-1,-1,-1,0,48462.0,6923.0,207690.0,-1,0,1
2015-06-05,2015-06-05 00:00:00,Husky,MANSFIELD ULSD CLEVE/AKRON,MANSFIELD ULSD CONTRACT- CLEVE/AKRON,Diesel,48462,0,0,w2,0,0,0,48462,Available,100%,100,Below Trend,w2,0,2015-06-12 00:00:00,Contract,-1,48462,0,0,211522,2015-06-05 00:40:35,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48462,0,0,48462,True,True,0,0,0,0,0,0,48462,-1,-1,-1,-1,-1,0,48462.0,6923.0,207690.0,-1,0,1
2015-06-06,2015-06-06 00:00:00,Husky,MANSFIELD ULSD CLEVE/AKRON,MANSFIELD ULSD CONTRACT- CLEVE/AKRON,Diesel,-1,-1,0,w3,-1,0,-1,-1,-1,-1,100,-1,w2,1,2015-06-12 00:00:00,-1,-1,-1,-1,-1,-1,2015-06-06 00:00:00,-1,-1,-1,0,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,0,-1,0,-1,-1,-1,-1,0,-1,0,-1,-1,-1,-1,-1,-1,-1,2015-06-06 00:00:00,2015-06-06 00:00:00,0,0,48462,0,0,48462,True,True,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,48462.0,6923.0,207690.0,-1,0,1
2015-06-07,2015-06-07 00:00:00,Husky,MANSFIELD ULSD CLEVE/AKRON,MANSFIELD ULSD CONTRACT- CLEVE/AKRON,Diesel,-1,-1,0,w3,-1,0,-1,-1,-1,-1,100,-1,w2,1,2015-06-12 00:00:00,-1,-1,-1,-1,-1,-1,2015-06-07 00:00:00,-1,-1,-1,0,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,0,-1,0,-1,-1,-1,-1,0,-1,0,-1,-1,-1,-1,-1,-1,-1,2015-06-07 00:00:00,2015-06-07 00:00:00,-1,-1,-1,-1,-1,-1,False,False,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1,0,0
2015-06-08,2015-06-08 00:00:00,Husky,MANSFIELD ULSD CLEVE/AKRON,MANSFIELD ULSD CONTRACT- CLEVE/AKRON,Diesel,48462,29704,0,w3,0,0,29704,48462,Available,100%,100,Above Trend,w2,0,2015-06-12 00:00:00,Contract,-1,18758,0,0,221766,2015-06-08 12:44:19,Mansfield,0,0,1,0,3,15000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48462,0,0,48462,False,False,0,0,0,0,0,0,18758,-1,-1,-1,-1,-1,0,48462.0,6923.0,207690.0,-1,0,0
2015-06-09,2015-06-09 00:00:00,Husky,MANSFIELD ULSD CLEVE/AKRON,MANSFIELD ULSD CONTRACT- CLEVE/AKRON,Diesel,48462,44704,1,w3,0,0,29704,48462,Out,100%,100,Above Trend,w2,0,2015-06-12 00:00:00,Contract,-1,3758,0,0,226824,2015-06-09 01:04:37,Mansfield,0,0,1,0,3,7500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48462,0,0,48462,False,False,0,0,0,0,0,0,18758,-1,-1,-1,-1,-1,0,48462.0,6923.0,207690.0,-1,0,0
2015-06-10,2015-06-10 00:00:00,Husky,MANSFIELD ULSD CLEVE/AKRON,MANSFIELD ULSD CONTRACT- CLEVE/AKRON,Diesel,48462,52204,1,w3,0,0,29704,48462,Out,100%,100,Above Trend,w2,0,2015-06-12 00:00:00,Contract,-1,-3742,0,0,242062,2015-06-10 16:23:03,Mansfield,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48462,0,0,48462,False,False,0,0,0,0,0,0,18758,-1,-1,-1,-1,-1,0,48462.0,6923.0,207690.0,-1,0,0
2015-06-11,2015-06-11 00:00:00,Husky,MANSFIELD ULSD CLEVE/AKRON,MANSFIELD ULSD CONTRACT- CLEVE/AKRON,Diesel,48462,52204,1,w3,0,0,29704,48462,Out,100%,100,Above Trend,w2,0,2015-06-12 00:00:00,Contract,-1,-3742,0,0,262486,2015-06-11 14:43:57,Mansfield,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48462,0,0,48462,False,False,0,0,0,0,0,0,18758,-1,-1,-1,-1,-1,0,48462.0,6923.0,207690.0,-1,0,0
2015-06-12,2015-06-12 00:00:00,Husky,MANSFIELD ULSD CLEVE/AKRON,MANSFIELD ULSD CONTRACT- CLEVE/AKRON,Diesel,48462,7500,1,w4,0,0,0,48462,Available,100%,100,Above Trend,w3,0,2015-06-19 00:00:00,Contract,-1,40962,0,0,277630,2015-06-12 14:20:34,Mansfield,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48462,0,0,48462,False,True,0,True,0,0,0,0,48462,-1,-1,-1,-1,-1,0,48462.0,6923.0,207690.0,-1,0,0
2015-06-13,2015-06-13 00:00:00,Husky,MANSFIELD ULSD CLEVE/AKRON,MANSFIELD ULSD CONTRACT- CLEVE/AKRON,Diesel,48462,7500,1,w4,0,0,0,48462,Available,100%,100,Above Trend,w3,0,2015-06-19 00:00:00,Contract,-1,40962,0,0,319130,2015-06-13 22:03:27,Mansfield,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48462,0,0,48462,False,True,0,True,0,0,0,0,48462,-1,-1,-1,-1,-1,0,48462.0,6923.0,207690.0,-1,0,0
