,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Daily,base_gallons_Monthly,base_gallons_Weekly,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Daily,beginning_gallons_Monthly,beginning_gallons_Weekly,en_allocation_status_Daily,en_allocation_status_Monthly,en_allocation_status_Weekly,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Daily,alerts_ratability_Monthly,alerts_ratability_Weekly,next_refresh_date_Daily,next_refresh_date_Monthly,Week_switch,Modified_NRD,next_refresh_date_Weekly,en_account_type_Daily,en_account_type_Monthly,en_account_type_Weekly,NRB_Daily,next_refresh_base_gallons_Daily,NRB_Monthly,next_refresh_base_gallons_Monthly,next_refresh_base_gallons_Weekly,remaining_gallons_Daily,remaining_gallons_Monthly,remaining_gallons_Weekly,additional_gallons_allowed_Daily,additional_gallons_allowed_Monthly,additional_gallons_allowed_Weekly,additional_gallons_remaining_Daily,additional_gallons_remaining_Monthly,additional_gallons_remaining_Weekly,staging_id_Daily,staging_id_Monthly,staging_id_Weekly,execution_date_Daily,execution_date_Monthly,execution_date_Weekly,customer_name_Daily,customer_name_Monthly,customer_name_Weekly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2015-12-01,2015-12-01 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,PHILADELPHIA PA PPT TP - 00V2,Premium RFG,419,-1,2934,3,0,0,0,0,-1,0,-1,0,0,w1,0,0,0,629,-1,4108,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,12/02 00:00:00 EST,-1,w2,0,2015-12-03 00:00:00,Contract,-1,Contract,419,419,-1,-1,2934,629,-1,4108,0,-1,0,0,-1,0,9237763,-1,9237764,2015-12-01 22:00:20,2015-12-01 00:00:00,2015-12-01 22:00:20,Mansfield,-1,Mansfield,419,-1,2934,628,-1,4107,True,True,0,True,0,0,629,-1,4108,-1,-1,-1,-1,0.0,0,2934,419.0,12989.0,-1,0,0
2015-12-02,2015-12-02 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,PHILADELPHIA PA PPT TP - 00V2,Premium RFG,419,-1,2934,0,0,0,0,0,-1,0,-1,0,0,w1,0,0,0,629,-1,4108,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,12/03 00:00:00 EST,-1,w2,0,2015-12-03 00:00:00,Contract,-1,Contract,419,419,-1,-1,2934,629,-1,4108,0,-1,0,0,-1,0,9292371,-1,9292372,2015-12-02 22:04:50,2015-12-02 00:00:00,2015-12-02 22:04:50,Mansfield,-1,Mansfield,419,-1,2934,629,-1,4108,True,True,0,True,0,0,629,-1,4108,-1,-1,-1,-1,0.0,0,2934,419.0,12989.0,-1,0,0
2015-12-03,2015-12-03 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,PHILADELPHIA PA PPT TP - 00V2,Premium RFG,419,-1,2934,3,0,0,0,0,-1,0,-1,0,0,w1,0,0,0,629,-1,4108,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,12/04 00:00:00 EST,-1,w3,0,2015-12-10 00:00:00,Contract,-1,Contract,419,419,-1,-1,2934,629,-1,4108,0,-1,0,0,-1,0,9345642,-1,9345643,2015-12-03 22:04:58,2015-12-03 00:00:00,2015-12-03 22:04:58,Mansfield,-1,Mansfield,419,-1,2934,629,-1,4108,True,True,0,True,0,0,629,-1,4108,-1,-1,-1,-1,0.0,0,2934,419.0,12989.0,-1,0,0
2015-12-04,2015-12-04 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,PHILADELPHIA PA PPT TP - 00V2,Premium RFG,419,-1,2934,3,0,0,0,0,-1,0,-1,0,0,w1,0,0,0,629,-1,4108,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,12/05 00:00:00 EST,-1,w3,0,2015-12-10 00:00:00,Contract,-1,Contract,419,419,-1,-1,2934,629,-1,4108,0,-1,0,0,-1,0,9398784,-1,9398785,2015-12-04 22:05:01,2015-12-04 00:00:00,2015-12-04 22:05:01,Mansfield,-1,Mansfield,419,-1,2934,629,-1,4108,True,True,0,True,0,0,629,-1,4108,-1,-1,-1,-1,0.0,0,2934,419.0,12989.0,-1,0,0
2015-12-05,2015-12-05 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,PHILADELPHIA PA PPT TP - 00V2,Premium RFG,419,-1,2934,3,0,0,0,0,-1,0,-1,0,0,w1,0,0,0,629,-1,4108,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,12/06 00:00:00 EST,-1,w3,0,2015-12-10 00:00:00,Contract,-1,Contract,419,419,-1,-1,2934,629,-1,4108,0,-1,0,0,-1,0,9451355,-1,9451356,2015-12-05 22:05:01,2015-12-05 00:00:00,2015-12-05 22:05:01,Mansfield,-1,Mansfield,419,-1,2934,629,-1,4108,True,True,0,True,0,0,629,-1,4108,-1,-1,-1,-1,0.0,0,2934,419.0,12989.0,-1,0,0
2015-12-06,2015-12-06 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,PHILADELPHIA PA PPT TP - 00V2,Premium RFG,419,-1,2934,3,0,0,0,0,-1,0,-1,0,0,w1,0,0,0,629,-1,4108,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,12/07 00:00:00 EST,-1,w3,0,2015-12-10 00:00:00,Contract,-1,Contract,419,419,-1,-1,2934,629,-1,4108,0,-1,0,0,-1,0,9488665,-1,9488666,2015-12-06 22:05:02,2015-12-06 00:00:00,2015-12-06 22:05:02,Mansfield,-1,Mansfield,419,-1,2934,629,-1,4108,True,True,0,True,0,0,629,-1,4108,-1,-1,-1,-1,0.0,0,2934,419.0,12989.0,-1,0,0
2015-12-07,2015-12-07 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,PHILADELPHIA PA PPT TP - 00V2,Premium RFG,419,-1,2934,3,0,0,0,0,-1,0,-1,0,0,w1,0,0,0,629,-1,4108,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,12/08 00:00:00 EST,-1,w3,0,2015-12-10 00:00:00,Contract,-1,Contract,419,419,-1,-1,2934,629,-1,4108,0,-1,0,0,-1,0,9533240,-1,9533241,2015-12-07 22:04:27,2015-12-07 00:00:00,2015-12-07 22:04:27,Mansfield,-1,Mansfield,419,-1,2934,629,-1,4108,True,True,0,True,0,0,629,-1,4108,-1,-1,-1,-1,0.0,0,2934,419.0,12989.0,-1,0,0
2015-12-08,2015-12-08 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,PHILADELPHIA PA PPT TP - 00V2,Premium RFG,419,-1,2934,3,8506,0,8506,8506,-1,0,-1,8506,0,w1,8506,0,8506,629,-1,4108,Out,-1,Out,150%,150,-1,100,140%,140,Above Trend,-1,Above Trend,12/09 00:00:00 EST,-1,w3,0,2015-12-10 00:00:00,Contract,-1,Contract,419,419,-1,-1,2934,-7878,-1,-4398,0,-1,0,0,-1,0,9585248,-1,9585249,2015-12-08 22:04:58,2015-12-08 00:00:00,2015-12-08 22:04:58,Mansfield,-1,Mansfield,419,-1,2934,629,-1,4108,True,True,8506,True,0,0,-7877,-1,-4398,-1,-1,-1,-1,2667.0,0,2934,419.0,12989.0,-1,0,0
2015-12-09,2015-12-09 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,PHILADELPHIA PA PPT TP - 00V2,Premium RFG,419,-1,2934,0,0,0,0,0,-1,0,-1,8506,0,w1,0,0,8506,629,-1,4108,Out,-1,Out,150%,150,-1,100,140%,140,Below Trend,-1,Above Trend,12/10 00:00:00 EST,-1,w3,0,2015-12-10 00:00:00,Contract,-1,Contract,419,419,-1,-1,2934,629,-1,-4398,0,-1,0,0,-1,0,9636089,-1,9636090,2015-12-09 22:03:11,2015-12-09 00:00:00,2015-12-09 22:03:11,Mansfield,-1,Mansfield,419,-1,2934,629,-1,4108,True,True,8506,True,0,0,629,-1,-4398,-1,-1,-1,-1,0.0,200,2934,419.0,12989.0,-1,0,0
2015-12-10,2015-12-10 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,PHILADELPHIA PA PPT TP - 00V2,Premium RFG,419,-1,2934,0,0,0,0,0,-1,0,-1,0,0,w2,0,0,0,629,-1,4108,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,12/11 00:00:00 EST,-1,w4,0,2015-12-17 00:00:00,Contract,-1,Contract,419,419,-1,-1,2934,629,-1,4108,0,-1,0,0,-1,0,9678841,-1,9678842,2015-12-10 23:52:44,2015-12-10 00:00:00,2015-12-10 23:52:44,Mansfield,-1,Mansfield,419,-1,2934,629,-1,4108,True,True,0,0,0,0,629,-1,4108,-1,-1,-1,-1,0.0,0,2934,419.0,12989.0,-1,0,0
