,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Weekly,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Weekly,en_allocation_status_Weekly,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Weekly,Week_switch,Modified_NRD,next_refresh_date_Weekly,en_account_type_Weekly,next_refresh_base_gallons_Weekly,remaining_gallons_Weekly,additional_gallons_allowed_Weekly,additional_gallons_remaining_Weekly,staging_id_Weekly,execution_date_Weekly,customer_name_Weekly,base_gallons_Daily,base_gallons_Monthly,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,beginning_gallons_Daily,beginning_gallons_Monthly,en_allocation_status_Daily,en_allocation_status_Monthly,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,alerts_ratability_Daily,alerts_ratability_Monthly,next_refresh_date_Daily,next_refresh_date_Monthly,NRB_Daily,next_refresh_base_gallons_Daily,NRB_Monthly,next_refresh_base_gallons_Monthly,remaining_gallons_Daily,remaining_gallons_Monthly,additional_gallons_allowed_Daily,additional_gallons_allowed_Monthly,additional_gallons_remaining_Daily,additional_gallons_remaining_Monthly,execution_date_Daily,execution_date_Monthly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2016-01-01,2016-01-01 00:00:00,Husky,MANSFIELD ULSD CLEVE/AKRON,MANSFIELD ULSD CONTRACT- CLEVE/AKRON,Diesel,114087,0,1,w1,0,0,0,114087,Available,100%,100,Below Trend,w1,0,2016-01-08 00:00:00,Contract,-1,114087,0,0,11388415,2016-01-01 22:09:23,Mansfield,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114087,0,0,114087,True,True,0,True,0,True,0,0,114087,-1,-1,-1,-1,-1,0,114087.0,16298.0,505238.0,-1,1,1
2016-01-02,2016-01-02 00:00:00,Husky,MANSFIELD ULSD CLEVE/AKRON,MANSFIELD ULSD CONTRACT- CLEVE/AKRON,Diesel,114087,0,1,w1,0,0,0,114087,Available,100%,100,Below Trend,w1,0,2016-01-08 00:00:00,Contract,-1,114087,0,0,11440479,2016-01-02 22:06:19,Mansfield,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114087,0,0,114087,True,True,0,True,0,True,0,0,114087,-1,-1,-1,-1,-1,0,114087.0,16298.0,505238.0,-1,1,1
2016-01-03,2016-01-03 00:00:00,Husky,MANSFIELD ULSD CLEVE/AKRON,MANSFIELD ULSD CONTRACT- CLEVE/AKRON,Diesel,114087,0,1,w1,0,0,0,114087,Available,100%,100,Below Trend,w1,0,2016-01-08 00:00:00,Contract,-1,114087,0,0,11493495,2016-01-03 22:04:33,Mansfield,0,0,1,0,3,36702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114087,0,0,114087,False,True,0,True,0,True,0,0,114087,-1,-1,-1,-1,-1,0,114087.0,16298.0,505238.0,-1,0,1
2016-01-04,2016-01-04 00:00:00,Husky,MANSFIELD ULSD CLEVE/AKRON,MANSFIELD ULSD CONTRACT- CLEVE/AKRON,Diesel,114087,36702,1,w1,0,0,0,114087,Available,100%,100,Above Trend,w1,0,2016-01-08 00:00:00,Contract,-1,77385,0,0,11615289,2016-01-04 22:11:30,Mansfield,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114087,0,0,114087,True,True,0,True,0,True,0,0,114087,-1,-1,-1,-1,-1,0,114087.0,16298.0,505238.0,-1,0,1
2016-01-05,2016-01-05 00:00:00,Husky,MANSFIELD ULSD CLEVE/AKRON,MANSFIELD ULSD CONTRACT- CLEVE/AKRON,Diesel,114087,36702,1,w1,0,0,0,114087,Available,100%,100,Above Trend,w1,0,2016-01-08 00:00:00,Contract,-1,77385,0,0,11790659,2016-01-05 22:09:37,Mansfield,0,0,1,0,3,7001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114087,0,0,114087,False,True,0,True,0,True,0,0,114087,-1,-1,-1,-1,-1,0,114087.0,16298.0,505238.0,-1,0,1
2016-01-06,2016-01-06 00:00:00,Husky,MANSFIELD ULSD CLEVE/AKRON,MANSFIELD ULSD CONTRACT- CLEVE/AKRON,Diesel,114087,43703,1,w1,0,0,0,114087,Available,100%,100,Above Trend,w1,0,2016-01-08 00:00:00,Contract,-1,70384,0,0,11943844,2016-01-06 22:13:37,Mansfield,0,0,1,0,3,45202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114087,0,0,114087,False,True,0,True,0,True,0,0,114087,-1,-1,-1,-1,-1,0,114087.0,16298.0,505238.0,-1,0,1
2016-01-07,2016-01-07 00:00:00,Husky,MANSFIELD ULSD CLEVE/AKRON,MANSFIELD ULSD CONTRACT- CLEVE/AKRON,Diesel,114087,88905,1,w1,0,0,0,114087,Available,100%,100,Above Trend,w1,0,2016-01-08 00:00:00,Contract,-1,25182,0,0,12103934,2016-01-07 22:09:35,Mansfield,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114087,0,0,114087,True,True,0,True,0,True,0,0,114087,-1,-1,-1,-1,-1,0,114087.0,16298.0,505238.0,-1,0,1
2016-01-08,2016-01-08 00:00:00,Husky,MANSFIELD ULSD CLEVE/AKRON,MANSFIELD ULSD CONTRACT- CLEVE/AKRON,Diesel,114087,0,1,w2,0,0,0,114087,Available,100%,100,Below Trend,w2,0,2016-01-15 00:00:00,Contract,-1,114087,0,0,12254547,2016-01-08 22:09:03,Mansfield,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114087,0,0,114087,True,True,0,True,0,True,0,0,114087,-1,-1,-1,-1,-1,0,114087.0,16298.0,505238.0,-1,0,1
2016-01-09,2016-01-09 00:00:00,Husky,MANSFIELD ULSD CLEVE/AKRON,MANSFIELD ULSD CONTRACT- CLEVE/AKRON,Diesel,114087,0,1,w2,0,0,0,114087,Available,100%,100,Below Trend,w2,0,2016-01-15 00:00:00,Contract,-1,114087,0,0,12411035,2016-01-09 22:09:11,Mansfield,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114087,0,0,114087,True,True,0,True,0,True,0,0,114087,-1,-1,-1,-1,-1,0,114087.0,16298.0,505238.0,-1,0,1
2016-01-10,2016-01-10 00:00:00,Husky,MANSFIELD ULSD CLEVE/AKRON,MANSFIELD ULSD CONTRACT- CLEVE/AKRON,Diesel,114087,0,1,w2,0,0,0,114087,Available,100%,100,Below Trend,w2,0,2016-01-15 00:00:00,Contract,-1,114087,0,0,12566527,2016-01-10 23:48:19,Mansfield,0,0,1,0,3,21700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114087,0,0,114087,False,True,0,True,0,True,0,0,114087,-1,-1,-1,-1,-1,0,114087.0,16298.0,505238.0,-1,0,1
