,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Weekly,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Weekly,en_allocation_status_Weekly,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Weekly,Week_switch,Modified_NRD,next_refresh_date_Weekly,en_account_type_Weekly,next_refresh_base_gallons_Weekly,remaining_gallons_Weekly,additional_gallons_allowed_Weekly,additional_gallons_remaining_Weekly,staging_id_Weekly,execution_date_Weekly,customer_name_Weekly,base_gallons_Daily,base_gallons_Monthly,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,beginning_gallons_Daily,beginning_gallons_Monthly,en_allocation_status_Daily,en_allocation_status_Monthly,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,alerts_ratability_Daily,alerts_ratability_Monthly,next_refresh_date_Daily,next_refresh_date_Monthly,NRB_Daily,next_refresh_base_gallons_Daily,NRB_Monthly,next_refresh_base_gallons_Monthly,remaining_gallons_Daily,remaining_gallons_Monthly,additional_gallons_allowed_Daily,additional_gallons_allowed_Monthly,additional_gallons_remaining_Daily,additional_gallons_remaining_Monthly,execution_date_Daily,execution_date_Monthly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2016-01-18,2016-01-18 00:00:00,Husky,MANSFIELD GAS AT AKRON,MANSFIELD GAS CONTRACT- AKRON,87 Gas,34615,10501,1,w3,0,0,0,34615,Available,100%,100,Above Trend,w3,0,2016-01-22 00:00:00,Contract,-1,24114,0,0,13509875,2016-01-18 23:39:03,Mansfield,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34615,0,0,34615,False,True,0,True,0,True,0,0,34615,-1,-1,-1,-1,-1,0,34615.0,4945.0,153295.0,-1,0,1
2016-01-19,2016-01-19 00:00:00,Husky,MANSFIELD GAS AT AKRON,MANSFIELD GAS CONTRACT- AKRON,87 Gas,34615,10501,1,w3,0,0,0,34615,Available,100%,100,Above Trend,w3,0,2016-01-22 00:00:00,Contract,-1,24114,0,0,123835,2016-01-19 22:41:35,Mansfield,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34615,0,0,34615,False,True,0,True,0,True,0,0,34615,-1,-1,-1,-1,-1,0,34615.0,4945.0,153295.0,-1,0,1
2016-01-20,2016-01-20 00:00:00,Husky,MANSFIELD GAS AT AKRON,MANSFIELD GAS CONTRACT- AKRON,87 Gas,34615,10501,1,w3,0,0,0,34615,Available,100%,100,Above Trend,w3,0,2016-01-22 00:00:00,Contract,-1,24114,0,0,258623,2016-01-20 22:04:20,Mansfield,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34615,0,0,34615,False,True,0,True,0,True,0,0,34615,-1,-1,-1,-1,-1,0,34615.0,4945.0,153295.0,-1,0,1
2016-01-21,2016-01-21 00:00:00,Husky,MANSFIELD GAS AT AKRON,MANSFIELD GAS CONTRACT- AKRON,87 Gas,34615,10501,1,w3,0,0,0,34615,Available,100%,100,Above Trend,w3,0,2016-01-22 00:00:00,Contract,-1,24114,0,0,400216,2016-01-21 22:07:42,Mansfield,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34615,0,0,34615,False,True,0,True,0,True,0,0,34615,-1,-1,-1,-1,-1,0,34615.0,4945.0,153295.0,-1,0,1
2016-01-22,2016-01-22 00:00:00,Husky,MANSFIELD GAS AT AKRON,MANSFIELD GAS CONTRACT- AKRON,87 Gas,34615,8500,1,w4,0,0,0,34615,Available,100%,100,Above Trend,w4,0,2016-01-29 00:00:00,Contract,-1,26115,0,0,559625,2016-01-22 22:06:31,Mansfield,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34615,0,0,34615,False,True,0,True,0,True,0,0,34615,-1,-1,-1,-1,-1,0,34615.0,4945.0,153295.0,-1,0,1
2016-01-23,2016-01-23 00:00:00,Husky,MANSFIELD GAS AT AKRON,MANSFIELD GAS CONTRACT- AKRON,87 Gas,34615,8500,1,w4,0,0,0,34615,Available,100%,100,Above Trend,w4,0,2016-01-29 00:00:00,Contract,-1,26115,0,0,710094,2016-01-23 22:06:29,Mansfield,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34615,0,0,34615,False,True,0,True,0,True,0,0,34615,-1,-1,-1,-1,-1,0,34615.0,4945.0,153295.0,-1,0,1
2016-01-24,2016-01-24 00:00:00,Husky,MANSFIELD GAS AT AKRON,MANSFIELD GAS CONTRACT- AKRON,87 Gas,34615,8500,1,w4,0,0,0,34615,Available,100%,100,Above Trend,w4,0,2016-01-29 00:00:00,Contract,-1,26115,0,0,790388,2016-01-24 22:06:50,Mansfield,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34615,0,0,34615,False,True,0,True,0,True,0,0,34615,-1,-1,-1,-1,-1,0,34615.0,4945.0,153295.0,-1,0,1
2016-01-25,2016-01-25 00:00:00,Husky,MANSFIELD GAS AT AKRON,MANSFIELD GAS CONTRACT- AKRON,87 Gas,34615,8500,1,w4,0,0,0,34615,Available,100%,100,Above Trend,w4,0,2016-01-29 00:00:00,Contract,-1,26115,0,0,939046,2016-01-25 22:06:19,Mansfield,0,0,1,0,3,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34615,0,0,34615,False,True,0,True,0,True,0,0,34615,-1,-1,-1,-1,-1,0,34615.0,4945.0,153295.0,-1,0,1
2016-01-26,2016-01-26 00:00:00,Husky,MANSFIELD GAS AT AKRON,MANSFIELD GAS CONTRACT- AKRON,87 Gas,34615,11000,1,w4,0,0,0,34615,Available,100%,100,Above Trend,w4,0,2016-01-29 00:00:00,Contract,-1,23615,0,0,1082638,2016-01-26 22:07:00,Mansfield,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34615,0,0,34615,False,True,0,True,0,True,0,0,34615,-1,-1,-1,-1,-1,0,34615.0,4945.0,153295.0,-1,0,1
2016-01-27,2016-01-27 00:00:00,Husky,MANSFIELD GAS AT AKRON,MANSFIELD GAS CONTRACT- AKRON,87 Gas,34615,11000,1,w4,0,0,0,34615,Available,100%,100,Above Trend,w4,0,2016-01-29 00:00:00,Contract,-1,23615,0,0,1238601,2016-01-27 22:07:22,Mansfield,0,0,1,0,3,7951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34615,0,0,34615,False,True,0,True,0,True,0,0,34615,-1,-1,-1,-1,-1,0,34615.0,4945.0,153295.0,-1,0,1
2016-01-28,2016-01-28 00:00:00,Husky,MANSFIELD GAS AT AKRON,MANSFIELD GAS CONTRACT- AKRON,87 Gas,34615,18951,1,w4,0,0,0,34615,Available,100%,100,Above Trend,w4,0,2016-01-29 00:00:00,Contract,-1,15664,0,0,1406582,2016-01-28 22:11:25,Mansfield,0,0,1,0,3,13552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34615,0,0,34615,False,True,0,True,0,True,0,0,34615,-1,-1,-1,-1,-1,0,34615.0,4945.0,153295.0,-1,0,1
2016-01-29,2016-01-29 00:00:00,Husky,MANSFIELD GAS AT AKRON,MANSFIELD GAS CONTRACT- AKRON,87 Gas,34615,32503,1,w4,0,0,0,34615,Out,100%,100,Above Trend,w5,0,2016-02-05 00:00:00,Contract,-1,2112,0,0,1551573,2016-01-29 22:06:53,Mansfield,0,0,1,0,3,7007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34615,0,0,34615,False,True,0,True,0,True,0,0,34615,-1,-1,-1,-1,-1,0,34615.0,4945.0,153295.0,-1,0,1
2016-01-30,2016-01-30 00:00:00,Husky,MANSFIELD GAS AT AKRON,MANSFIELD GAS CONTRACT- AKRON,87 Gas,34615,39510,1,w4,0,0,0,34615,Out,100%,100,Above Trend,w5,0,2016-02-05 00:00:00,Contract,-1,-4895,0,0,1694204,2016-01-30 22:06:44,Mansfield,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34615,0,0,34615,False,True,0,True,0,True,0,0,34615,-1,-1,-1,-1,-1,0,34615.0,4945.0,153295.0,-1,0,1
2016-01-31,2016-01-31 00:00:00,Husky,MANSFIELD GAS AT AKRON,MANSFIELD GAS CONTRACT- AKRON,87 Gas,34615,39510,1,w4,0,0,0,34615,Out,100%,100,Above Trend,w5,0,2016-02-05 00:00:00,Contract,-1,-4895,0,0,1846281,2016-01-31 22:06:36,Mansfield,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34615,0,0,34615,False,True,0,True,0,True,0,0,34615,-1,-1,-1,-1,-1,0,34615.0,4945.0,153295.0,-1,0,1
