,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Daily,base_gallons_Weekly,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Daily,beginning_gallons_Weekly,en_allocation_status_Daily,en_allocation_status_Weekly,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Daily,alerts_ratability_Weekly,next_refresh_date_Daily,Week_switch,Modified_NRD,next_refresh_date_Weekly,en_account_type_Daily,en_account_type_Weekly,NRB_Daily,next_refresh_base_gallons_Daily,next_refresh_base_gallons_Weekly,remaining_gallons_Daily,remaining_gallons_Weekly,additional_gallons_allowed_Daily,additional_gallons_allowed_Weekly,additional_gallons_remaining_Daily,additional_gallons_remaining_Weekly,staging_id_Daily,staging_id_Weekly,execution_date_Daily,execution_date_Weekly,customer_name_Daily,customer_name_Weekly,base_gallons_Monthly,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,beginning_gallons_Monthly,en_allocation_status_Monthly,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,alerts_ratability_Monthly,next_refresh_date_Monthly,NRB_Monthly,next_refresh_base_gallons_Monthly,remaining_gallons_Monthly,additional_gallons_allowed_Monthly,additional_gallons_remaining_Monthly,execution_date_Monthly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2015-11-01,2015-11-01 00:00:00,Husky,MANSFIELD ULSD CONTRACT TAYLOR,MANSFIELD ULSD CONTRACT- TAYLOR,Diesel,-1,58516,1,0,3,0,-1,11500,1,w1,-1,0,0,-1,58516,-1,Available,-1,100,100%,100,-1,Above Trend,-1,w1,0,2015-11-06 00:00:00,-1,Contract,-1,-1,-1,-1,47016,-1,0,-1,0,-1,7363388,-1,2015-11-01 22:04:31,-1,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,58516,-1,0,58516,True,False,0,0,0,0,-1,0,58516,-1,-1,-1,-1,-1,0,58516.0,8359.0,250770.0,-1,1,1
2015-11-02,2015-11-02 00:00:00,Husky,MANSFIELD ULSD CONTRACT TAYLOR,MANSFIELD ULSD CONTRACT- TAYLOR,Diesel,-1,11500,0,-1,0,-1,-1,11500,0,w1,-1,0,11500,-1,11500,-1,Out,-1,100,100%,100,-1,Above Trend,-1,w1,0,2015-11-06 00:00:00,-1,Contract,-1,-1,-1,-1,0,-1,0,-1,0,-1,7413137,-1,2015-11-02 22:04:32,-1,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,11500,-1,0,11500,False,False,0,0,0,0,-1,0,0,-1,-1,-1,-1,-1,0,11500.0,1643.0,49290.0,-1,0,0
2015-11-03,2015-11-03 00:00:00,Husky,MANSFIELD ULSD CONTRACT TAYLOR,MANSFIELD ULSD CONTRACT- TAYLOR,Diesel,-1,11500,0,-1,0,-1,-1,11500,0,w1,-1,0,11500,-1,11500,-1,Out,-1,100,100%,100,-1,Above Trend,-1,w1,0,2015-11-06 00:00:00,-1,Contract,-1,-1,-1,-1,0,-1,0,-1,0,-1,7472661,-1,2015-11-03 22:00:33,-1,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,11500,-1,0,11500,False,False,0,0,0,0,-1,0,0,-1,-1,-1,-1,-1,0,11500.0,1643.0,49290.0,-1,0,0
2015-11-04,2015-11-04 00:00:00,Husky,MANSFIELD ULSD CONTRACT TAYLOR,MANSFIELD ULSD CONTRACT- TAYLOR,Diesel,-1,11500,0,-1,0,-1,-1,11500,0,w1,-1,0,11500,-1,11500,-1,Out,-1,100,100%,100,-1,Above Trend,-1,w1,0,2015-11-06 00:00:00,-1,Contract,-1,-1,-1,-1,0,-1,0,-1,0,-1,7697590,-1,2015-11-04 23:33:54,-1,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,11500,-1,0,11500,False,False,0,0,0,0,-1,0,0,-1,-1,-1,-1,-1,0,11500.0,1643.0,49290.0,-1,0,0
2015-11-05,2015-11-05 00:00:00,Husky,MANSFIELD ULSD CONTRACT TAYLOR,MANSFIELD ULSD CONTRACT- TAYLOR,Diesel,-1,11500,0,-1,0,-1,-1,11500,0,w1,-1,0,11500,-1,11500,-1,Out,-1,100,100%,100,-1,Above Trend,-1,w1,0,2015-11-06 00:00:00,-1,Contract,-1,-1,-1,-1,0,-1,0,-1,0,-1,7834241,-1,2015-11-05 22:00:26,-1,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,11500,-1,0,11500,False,False,0,0,0,0,-1,0,0,-1,-1,-1,-1,-1,100,11500.0,1643.0,49290.0,-1,0,0
2015-11-06,2015-11-06 00:00:00,Husky,MANSFIELD ULSD CONTRACT TAYLOR,MANSFIELD ULSD CONTRACT- TAYLOR,Diesel,-1,0,3,0,1,0,-1,0,0,w2,-1,0,0,-1,0,-1,Out,-1,100,100%,100,-1,Below Trend,-1,w2,0,2015-11-13 00:00:00,-1,Contract,-1,-1,-1,-1,0,-1,0,-1,0,-1,7884112,-1,2015-11-06 22:04:42,-1,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,0,0,True,True,0,0,0,0,-1,0,0,-1,-1,-1,-1,-1,-1,0.0,0.0,0.0,-1,0,0
2015-11-07,2015-11-07 00:00:00,Husky,MANSFIELD ULSD CONTRACT TAYLOR,MANSFIELD ULSD CONTRACT- TAYLOR,Diesel,-1,0,0,-1,0,-1,-1,0,0,w2,-1,0,0,-1,0,-1,Out,-1,100,100%,100,-1,Below Trend,-1,w2,0,2015-11-13 00:00:00,-1,Contract,-1,-1,-1,-1,0,-1,0,-1,0,-1,7927610,-1,2015-11-07 22:06:47,-1,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,0,0,False,False,0,0,0,0,-1,0,0,-1,-1,-1,-1,-1,-1,0.0,0.0,0.0,-1,0,0
2015-11-08,2015-11-08 00:00:00,Husky,MANSFIELD ULSD CONTRACT TAYLOR,MANSFIELD ULSD CONTRACT- TAYLOR,Diesel,-1,0,0,-1,0,-1,-1,0,0,w2,-1,0,0,-1,0,-1,Out,-1,100,100%,100,-1,Below Trend,-1,w2,0,2015-11-13 00:00:00,-1,Contract,-1,-1,-1,-1,0,-1,0,-1,0,-1,7979661,-1,2015-11-08 23:33:51,-1,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,0,0,False,False,0,0,0,0,-1,0,0,-1,-1,-1,-1,-1,-1,0.0,0.0,0.0,-1,0,0
2015-11-09,2015-11-09 00:00:00,Husky,MANSFIELD ULSD CONTRACT TAYLOR,MANSFIELD ULSD CONTRACT- TAYLOR,Diesel,-1,0,0,-1,0,-1,-1,0,0,w2,-1,0,0,-1,0,-1,Out,-1,100,100%,100,-1,Below Trend,-1,w2,0,2015-11-13 00:00:00,-1,Contract,-1,-1,-1,-1,0,-1,0,-1,0,-1,8027695,-1,2015-11-09 22:09:18,-1,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,0,0,False,False,0,0,0,0,-1,0,0,-1,-1,-1,-1,-1,-1,0.0,0.0,0.0,-1,0,0
2015-11-10,2015-11-10 00:00:00,Husky,MANSFIELD ULSD CONTRACT TAYLOR,MANSFIELD ULSD CONTRACT- TAYLOR,Diesel,-1,0,0,-1,0,-1,-1,0,0,w2,-1,0,0,-1,0,-1,Out,-1,100,100%,100,-1,Below Trend,-1,w2,0,2015-11-13 00:00:00,-1,Contract,-1,-1,-1,-1,0,-1,0,-1,0,-1,8078478,-1,2015-11-10 23:24:13,-1,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,0,0,False,False,0,0,0,0,-1,0,0,-1,-1,-1,-1,-1,-1,0.0,0.0,0.0,-1,0,0
