,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Daily,base_gallons_Monthly,base_gallons_Weekly,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Daily,beginning_gallons_Monthly,beginning_gallons_Weekly,en_allocation_status_Daily,en_allocation_status_Monthly,en_allocation_status_Weekly,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Daily,alerts_ratability_Monthly,alerts_ratability_Weekly,next_refresh_date_Daily,next_refresh_date_Monthly,Week_switch,Modified_NRD,next_refresh_date_Weekly,en_account_type_Daily,en_account_type_Monthly,en_account_type_Weekly,NRB_Daily,next_refresh_base_gallons_Daily,NRB_Monthly,next_refresh_base_gallons_Monthly,next_refresh_base_gallons_Weekly,remaining_gallons_Daily,remaining_gallons_Monthly,remaining_gallons_Weekly,additional_gallons_allowed_Daily,additional_gallons_allowed_Monthly,additional_gallons_allowed_Weekly,additional_gallons_remaining_Daily,additional_gallons_remaining_Monthly,additional_gallons_remaining_Weekly,staging_id_Daily,staging_id_Monthly,staging_id_Weekly,execution_date_Daily,execution_date_Monthly,execution_date_Weekly,customer_name_Daily,customer_name_Monthly,customer_name_Weekly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2015-08-01,2015-08-01 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106675 IW,MISSION VALLEY CA KM TP - 00KQ,Premium Conventional / E10,493,15297,3454,1,0,3,0,0,0,0,0,998,1,w1,0,0,0,493,15297,3454,Available,Available,Available,100%,100,100%,100,100%,100,Below Trend,Below Trend,Below Trend,08/02 00:00:00 PDT,09/01 00:00:00 PDT,w1,0,2015-08-06 00:00:00,Contract,Contract,Contract,493,493,15297,15297,3454,493,15297,2456,0,0,0,0,0,0,2567814,2567816,2567815,2015-08-01 22:03:12,2015-08-01 22:03:12,2015-08-01 22:03:12,Mansfield,Mansfield,Mansfield,493,15297,3454,493,15297,3454,False,True,0,True,0,0,493,15297,3454,-1,-1,-1,-1.0,0.0,0,3454.0,493.0,15283.0,-1,1,1
2015-08-02,2015-08-02 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106675 IW,MISSION VALLEY CA KM TP - 00KQ,Premium Conventional / E10,493,15297,3454,1,0,3,0,0,0,0,0,998,1,w1,0,0,0,493,15297,3454,Available,Available,Available,100%,100,100%,100,100%,100,Below Trend,Below Trend,Below Trend,08/03 00:00:00 PDT,09/01 00:00:00 PDT,w1,0,2015-08-06 00:00:00,Contract,Contract,Contract,493,493,15297,15297,3454,493,15297,2456,0,0,0,0,0,0,2613552,2613554,2613553,2015-08-02 22:03:03,2015-08-02 22:03:03,2015-08-02 22:03:03,Mansfield,Mansfield,Mansfield,493,15297,3454,493,15297,3454,False,True,0,True,0,0,493,15297,3454,-1,-1,-1,-1.0,0.0,0,3454.0,493.0,15283.0,-1,1,1
2015-08-03,2015-08-03 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106675 IW,MISSION VALLEY CA KM TP - 00KQ,Premium Conventional / E10,493,15297,3454,1,0,3,0,0,0,0,0,998,1,w1,0,0,0,493,15297,3454,Available,Available,Available,100%,100,100%,100,100%,100,Below Trend,Below Trend,Below Trend,08/04 00:00:00 PDT,09/01 00:00:00 PDT,w1,0,2015-08-06 00:00:00,Contract,Contract,Contract,493,493,15297,15297,3454,493,15297,2456,0,0,0,0,0,0,2668686,2668688,2668687,2015-08-03 22:03:04,2015-08-03 22:03:04,2015-08-03 22:03:04,Mansfield,Mansfield,Mansfield,493,15297,3454,493,15297,3454,False,True,0,True,0,0,493,15297,3454,-1,-1,-1,-1.0,0.0,0,3454.0,493.0,15283.0,-1,1,1
2015-08-04,2015-08-04 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106675 IW,MISSION VALLEY CA KM TP - 00KQ,Premium Conventional / E10,493,15297,3454,1,0,3,0,0,0,0,0,998,1,w1,0,0,0,493,15297,3454,Available,Available,Available,100%,100,100%,100,100%,100,Below Trend,Below Trend,Below Trend,08/05 00:00:00 PDT,09/01 00:00:00 PDT,w1,0,2015-08-06 00:00:00,Contract,Contract,Contract,493,493,15297,15297,3454,493,15297,2456,0,0,0,0,0,0,2724870,2724872,2724871,2015-08-04 22:00:16,2015-08-04 22:00:16,2015-08-04 22:00:16,Mansfield,Mansfield,Mansfield,493,15297,3454,493,15297,3454,False,True,0,True,0,0,493,15297,3454,-1,-1,-1,-1.0,0.0,0,3454.0,493.0,15283.0,-1,1,1
2015-08-05,2015-08-05 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106675 IW,MISSION VALLEY CA KM TP - 00KQ,Premium Conventional / E10,493,15297,3454,1,0,0,0,0,0,0,0,998,1,w1,0,0,0,493,15297,3454,Available,Available,Available,100%,100,100%,100,100%,100,Below Trend,Below Trend,Below Trend,08/06 00:00:00 PDT,09/01 00:00:00 PDT,w1,0,2015-08-06 00:00:00,Contract,Contract,Contract,493,493,15297,15297,3454,493,15297,2456,0,0,0,0,0,0,2785747,2785749,2785748,2015-08-05 22:02:03,2015-08-05 22:02:03,2015-08-05 22:02:03,Mansfield,Mansfield,Mansfield,493,15297,3454,493,15297,3454,False,True,0,True,0,0,493,15297,3454,-1,-1,-1,-1.0,0.0,0,3454.0,493.0,15283.0,-1,1,1
2015-08-06,2015-08-06 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106675 IW,MISSION VALLEY CA KM TP - 00KQ,Premium Conventional / E10,493,15297,3454,1,0,3,0,0,0,0,0,0,1,w2,0,0,0,493,15297,3454,Available,Available,Available,100%,100,100%,100,100%,100,Below Trend,Below Trend,Below Trend,08/07 00:00:00 PDT,09/01 00:00:00 PDT,w2,0,2015-08-13 00:00:00,Contract,Contract,Contract,493,493,15297,15297,3454,493,15297,3454,0,0,0,0,0,0,2842736,2842738,2842737,2015-08-06 22:03:08,2015-08-06 22:03:08,2015-08-06 22:03:08,Mansfield,Mansfield,Mansfield,493,15297,3454,493,15297,3454,True,True,0,True,0,0,493,15297,3454,-1,-1,-1,-1.0,0.0,0,3454.0,493.0,15283.0,-1,1,1
2015-08-07,2015-08-07 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106675 IW,MISSION VALLEY CA KM TP - 00KQ,Premium Conventional / E10,493,15297,3454,1,1000,3,1000,0,0,0,0,0,1,w2,0,0,1000,493,15297,3454,Available,Available,Available,100%,100,100%,100,100%,100,Below Trend,Below Trend,Below Trend,08/08 00:00:00 PDT,09/01 00:00:00 PDT,w2,0,2015-08-13 00:00:00,Contract,Contract,Contract,493,493,15297,15297,3454,493,15297,3454,0,0,0,0,0,0,2896205,2896207,2896206,2015-08-07 22:03:06,2015-08-07 22:03:06,2015-08-07 22:03:06,Mansfield,Mansfield,Mansfield,493,15297,3454,493,15297,3454,False,True,1000,True,0,0,-507,15297,2454,-1,-1,-1,-1.0,267.0,0,3454.0,493.0,15283.0,-1,0,0
2015-08-08,2015-08-08 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106675 IW,MISSION VALLEY CA KM TP - 00KQ,Premium Conventional / E10,493,15297,3454,1,0,3,0,0,1000,0,1000,1000,1,w2,0,0,1000,493,15297,3454,Available,Available,Available,100%,100,100%,100,100%,100,Below Trend,Below Trend,Below Trend,08/09 00:00:00 PDT,09/01 00:00:00 PDT,w2,0,2015-08-13 00:00:00,Contract,Contract,Contract,493,493,15297,15297,3454,493,14297,2454,0,0,0,0,0,0,2952771,2952773,2952772,2015-08-08 22:04:41,2015-08-08 22:04:41,2015-08-08 22:04:41,Mansfield,Mansfield,Mansfield,493,15297,3454,493,15297,3454,True,True,1000,True,0,0,493,14297,2454,-1,-1,-1,25.0,0.0,0,3454.0,493.0,15283.0,-1,1,1
2015-08-09,2015-08-09 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106675 IW,MISSION VALLEY CA KM TP - 00KQ,Premium Conventional / E10,493,15297,3454,1,0,3,0,0,1000,0,1000,1000,1,w2,0,0,1000,493,15297,3454,Available,Available,Available,100%,100,100%,100,100%,100,Below Trend,Below Trend,Below Trend,08/10 00:00:00 PDT,09/01 00:00:00 PDT,w2,0,2015-08-13 00:00:00,Contract,Contract,Contract,493,493,15297,15297,3454,493,14297,2454,0,0,0,0,0,0,3004035,3004037,3004036,2015-08-09 22:03:56,2015-08-09 22:03:56,2015-08-09 22:03:56,Mansfield,Mansfield,Mansfield,493,15297,3454,493,15297,3454,True,True,1000,True,0,0,493,14297,2454,-1,-1,-1,23.0,0.0,0,3454.0,493.0,15283.0,-1,1,1
2015-08-10,2015-08-10 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106675 IW,MISSION VALLEY CA KM TP - 00KQ,Premium Conventional / E10,493,15297,3454,1,4801,3,4801,4801,5801,0,5801,5801,1,w2,4801,0,5801,493,15297,3454,Out,Out,Out,100%,100,100%,100,100%,100,Above Trend,On Track,Above Trend,08/11 00:00:00 PDT,09/01 00:00:00 PDT,w2,0,2015-08-13 00:00:00,Contract,Contract,Contract,493,493,15297,15297,3454,-4308,9496,-2347,0,0,0,0,0,0,3064661,3064663,3064662,2015-08-10 22:04:05,2015-08-10 22:04:05,2015-08-10 22:04:05,Mansfield,Mansfield,Mansfield,493,15297,3454,493,15297,3454,True,True,5801,True,0,0,-4308,9496,-2347,-1,-1,-1,118.0,1200.0,0,3454.0,493.0,15283.0,-1,1,1
