,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Daily,base_gallons_Weekly,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Daily,beginning_gallons_Weekly,en_allocation_status_Daily,en_allocation_status_Weekly,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Daily,alerts_ratability_Weekly,next_refresh_date_Daily,Week_switch,Modified_NRD,next_refresh_date_Weekly,en_account_type_Daily,en_account_type_Weekly,NRB_Daily,next_refresh_base_gallons_Daily,next_refresh_base_gallons_Weekly,remaining_gallons_Daily,remaining_gallons_Weekly,additional_gallons_allowed_Daily,additional_gallons_allowed_Weekly,additional_gallons_remaining_Daily,additional_gallons_remaining_Weekly,staging_id_Daily,staging_id_Weekly,execution_date_Daily,execution_date_Weekly,customer_name_Daily,customer_name_Weekly,base_gallons_Monthly,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,beginning_gallons_Monthly,en_allocation_status_Monthly,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,alerts_ratability_Monthly,next_refresh_date_Monthly,NRB_Monthly,next_refresh_base_gallons_Monthly,remaining_gallons_Monthly,additional_gallons_allowed_Monthly,additional_gallons_remaining_Monthly,execution_date_Monthly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2015-06-01,2015-06-01 00:00:00,BP,Channel: 50 - Commercial,JACKSONVILLE FL - MARATHON (PLANT 9294),DIESEL,5968,41774,1,0,3,0,0,37485,1,w1,0,0,0,11936.0,45951.0,Available,Available,200%,200,110%,110,-1,-1,06/02 00:00:00 EDT,w1,0,2015-06-03 00:00:00,Contract,Contract,5968.0,5968.0,43167.0,11936,8466,0,0,0,0,191120,191121,2015-06-01 05:49:21,2015-06-01 05:49:21,Mansfield,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5968,0,41774,11936.0,0,45951.0,False,True,0,True,0,0,11936,0,45951,-1,-1,-1,-1,0.0,0,41774.0,5968.0,179040.0,-1,1,1
2015-06-02,2015-06-02 00:00:00,BP,Channel: 50 - Commercial,JACKSONVILLE FL - MARATHON (PLANT 9294),DIESEL,5968,41774,1,0,0,0,0,37485,1,w1,0,0,0,11936.0,45951.0,Available,Available,200%,200,110%,110,-1,-1,06/03 00:00:00 EDT,w1,0,2015-06-03 00:00:00,Contract,Contract,6167.0,5968.0,43167.0,11936,8466,0,0,0,0,196299,196300,2015-06-02 02:02:19,2015-06-02 02:02:19,Mansfield,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5968,0,41774,11936.0,0,45951.0,False,True,0,True,0,0,11936,0,45951,-1,-1,-1,-1,0.0,0,41774.0,5968.0,179040.0,-1,1,1
2015-06-03,2015-06-03 00:00:00,BP,Channel: 50 - Commercial,JACKSONVILLE FL - MARATHON (PLANT 9294),DIESEL,6167,43167,1,0,3,0,0,0,1,w2,0,0,0,12334.0,47484.0,Available,Available,200%,200,110%,110,-1,-1,06/04 00:00:00 EDT,w2,0,2015-06-10 00:00:00,Contract,Contract,6167.0,6167.0,43167.0,12334,47484,0,0,0,0,201351,201352,2015-06-03 01:42:28,2015-06-03 01:42:28,Mansfield,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6167,0,43167,12334.0,0,47484.0,True,True,0,0,0,0,12334,0,47484,-1,-1,-1,-1,0.0,0,43167.0,6167.0,185010.0,-1,1,1
2015-06-04,2015-06-04 00:00:00,BP,Channel: 50 - Commercial,JACKSONVILLE FL - MARATHON (PLANT 9294),DIESEL,6167,43167,3,7496,3,7496,0,0,1,w2,0,0,0,12334.0,47484.0,Available,Available,200%,200,110%,110,-1,-1,06/05 00:00:00 EDT,w2,0,2015-06-10 00:00:00,Contract,Contract,6167.0,6167.0,43167.0,12334,47484,0,0,0,0,206153,206154,2015-06-04 06:05:29,2015-06-04 06:05:29,Mansfield,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6167,0,43167,12334.0,0,47484.0,False,False,0,0,0,0,4838,0,47484,-1,-1,-1,-1,400.0,0,43167.0,6167.0,185010.0,-1,0,0
2015-06-05,2015-06-05 00:00:00,BP,Channel: 50 - Commercial,JACKSONVILLE FL - MARATHON (PLANT 9294),DIESEL,6167,43167,0,0,0,0,0,7496,0,w2,0,0,7496,12334.0,47484.0,Available,Available,200%,200,110%,110,-1,-1,06/06 00:00:00 EDT,w2,0,2015-06-10 00:00:00,Contract,Contract,6167.0,6167.0,43167.0,12334,39988,0,0,0,0,211212,211213,2015-06-05 00:38:47,2015-06-05 00:38:47,Mansfield,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6167,0,43167,12334.0,0,47484.0,True,True,0,0,0,0,12334,0,39988,-1,-1,-1,-1,0.0,0,43167.0,6167.0,185010.0,-1,0,0
2015-06-06,2015-06-06 00:00:00,BP,Channel: 50 - Commercial,JACKSONVILLE FL - MARATHON (PLANT 9294),DIESEL,-1,-1,0,-1,0,-1,-1,-1,0,w3,-1,0,-1,-1.0,-1.0,-1,-1,-1,200,-1,110,-1,-1,-1,w2,1,2015-06-10 00:00:00,-1,-1,6167.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,2015-06-06 00:00:00,2015-06-06 00:00:00,-1,-1,-1,-1,0,-1,-1,-1,-1,0,-1,-1,0,-1,-1,-1,-1,2015-06-06 00:00:00,6167,0,43167,12334.0,0,47484.0,True,False,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,43167.0,6167.0,185010.0,-1,0,0
2015-06-07,2015-06-07 00:00:00,BP,Channel: 50 - Commercial,JACKSONVILLE FL - MARATHON (PLANT 9294),DIESEL,-1,-1,0,-1,0,-1,-1,-1,0,w3,-1,0,-1,-1.0,-1.0,-1,-1,-1,200,-1,110,-1,-1,-1,w2,1,2015-06-10 00:00:00,-1,-1,6167.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,2015-06-07 00:00:00,2015-06-07 00:00:00,-1,-1,-1,-1,0,-1,-1,-1,-1,0,-1,-1,0,-1,-1,-1,-1,2015-06-07 00:00:00,-1,-1,-1,-1.0,-1,-1.0,False,False,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,-1.0,-1.0,-1.0,-1,0,0
2015-06-08,2015-06-08 00:00:00,BP,Channel: 50 - Commercial,JACKSONVILLE FL - MARATHON (PLANT 9294),DIESEL,6167,43167,1,7497,3,8496,7497,22394,0,w3,7497,0,22394,12334.0,47484.0,Available,Available,200%,200,110%,110,-1,-1,06/09 00:00:00 EDT,w2,0,2015-06-10 00:00:00,Contract,Contract,6167.0,6167.0,43167.0,4837,25090,0,0,0,0,221457,221458,2015-06-08 12:42:24,2015-06-08 12:42:24,Mansfield,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6167,0,43167,12334.0,0,47484.0,False,False,0,0,0,0,4837,0,25090,-1,-1,-1,-1,400.0,0,43167.0,6167.0,185010.0,-1,0,0
2015-06-09,2015-06-09 00:00:00,BP,Channel: 50 - Commercial,JACKSONVILLE FL - MARATHON (PLANT 9294),DIESEL,6167,43167,1,0,0,0,0,23393,1,w3,0,0,22394,12334.0,47484.0,Available,Available,200%,200,110%,110,-1,-1,06/10 00:00:00 EDT,w2,0,2015-06-10 00:00:00,Contract,Contract,6167.0,6167.0,43167.0,12334,24091,0,0,0,0,226776,226777,2015-06-09 01:02:33,2015-06-09 01:02:33,Mansfield,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6167,0,43167,12334.0,0,47484.0,False,False,0,0,0,0,12334,0,25090,-1,-1,-1,-1,0.0,0,43167.0,6167.0,185010.0,-1,0,0
2015-06-10,2015-06-10 00:00:00,BP,Channel: 50 - Commercial,JACKSONVILLE FL - MARATHON (PLANT 9294),DIESEL,6167,43167,3,2005,3,2005,0,0,0,w4,0,0,0,12334.0,47484.0,Available,Available,200%,200,110%,110,-1,-1,06/11 00:00:00 EDT,w3,0,2015-06-17 00:00:00,Contract,Contract,6167.0,6167.0,43167.0,12334,47484,0,0,0,0,242015,242016,2015-06-10 16:21:21,2015-06-10 16:21:21,Mansfield,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6167,0,43167,12334.0,0,47484.0,False,False,2005,True,0,0,10329,0,47484,-1,-1,-1,-1,0.0,0,43167.0,6167.0,185010.0,-1,0,0
