,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Daily,base_gallons_Weekly,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Daily,beginning_gallons_Weekly,en_allocation_status_Daily,en_allocation_status_Weekly,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Daily,alerts_ratability_Weekly,next_refresh_date_Daily,Week_switch,Modified_NRD,next_refresh_date_Weekly,en_account_type_Daily,en_account_type_Weekly,NRB_Daily,next_refresh_base_gallons_Daily,next_refresh_base_gallons_Weekly,remaining_gallons_Daily,remaining_gallons_Weekly,additional_gallons_allowed_Daily,additional_gallons_allowed_Weekly,additional_gallons_remaining_Daily,additional_gallons_remaining_Weekly,staging_id_Daily,staging_id_Weekly,execution_date_Daily,execution_date_Weekly,customer_name_Daily,customer_name_Weekly,base_gallons_Monthly,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,beginning_gallons_Monthly,en_allocation_status_Monthly,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,alerts_ratability_Monthly,next_refresh_date_Monthly,NRB_Monthly,next_refresh_base_gallons_Monthly,remaining_gallons_Monthly,additional_gallons_allowed_Monthly,additional_gallons_remaining_Monthly,execution_date_Monthly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2015-08-01,2015-08-01 00:00:00,BP,Channel: 50 - Commercial,CHESAPEAKE VA - BUCKEYE (PLANT 9483),MID-GRADE,-1,3978,1,0,3,0,-1,4205,1,w1,-1,0,0,-1,4376,-1,Available,-1,100,110%,110,-1,-1,-1,w1,0,2015-08-05 00:00:00,-1,Contract,-1,-1,5442,-1,171,-1,0,-1,0,-1,2567230,2015-08-01 00:00:00,2015-08-01 22:00:07,-1,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,3978,-1,0,4375,True,False,0,0,0,0,-1,0,4376,-1,-1,-1,-1,-1,0,3978.0,568.0,17608.0,-1,1,1
2015-08-02,2015-08-02 00:00:00,BP,Channel: 50 - Commercial,CHESAPEAKE VA - BUCKEYE (PLANT 9483),MID-GRADE,-1,3978,0,-1,0,-1,-1,7011,0,w1,-1,0,7011,-1,4376,-1,Out,-1,100,110%,110,-1,-1,-1,w1,0,2015-08-05 00:00:00,-1,Contract,-1,-1,5442,-1,-2635,-1,0,-1,0,-1,2612968,2015-08-02 00:00:00,2015-08-02 22:00:08,-1,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,3978,-1,0,4376,False,False,0,0,0,0,-1,0,-2635,-1,-1,-1,-1,-1,0,3978.0,568.0,17608.0,-1,0,0
2015-08-03,2015-08-03 00:00:00,BP,Channel: 50 - Commercial,CHESAPEAKE VA - BUCKEYE (PLANT 9483),MID-GRADE,-1,3978,0,-1,0,-1,-1,7011,0,w1,-1,0,7011,-1,4376,-1,Available,-1,100,110%,110,-1,-1,-1,w1,0,2015-08-05 00:00:00,-1,Contract,-1,-1,5442,-1,-2635,-1,8000,-1,8000,-1,2668613,2015-08-03 00:00:00,2015-08-03 22:00:09,-1,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,3978,-1,0,4376,False,False,0,0,0,0,-1,0,-2635,-1,-1,8000,-1,-1,0,3978.0,568.0,17608.0,-1,0,0
2015-08-04,2015-08-04 00:00:00,BP,Channel: 50 - Commercial,CHESAPEAKE VA - BUCKEYE (PLANT 9483),MID-GRADE,-1,3978,0,-1,0,-1,-1,7011,0,w1,-1,0,7011,-1,4376,-1,Available,-1,100,110%,110,-1,-1,-1,w1,0,2015-08-05 00:00:00,-1,Contract,-1,-1,5442,-1,-2635,-1,8000,-1,8000,-1,2723427,2015-08-04 00:00:00,2015-08-04 22:00:06,-1,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,3978,-1,0,4376,False,False,0,0,0,0,-1,0,-2635,-1,-1,8000,-1,-1,100,3978.0,568.0,17608.0,-1,0,0
2015-08-05,2015-08-05 00:00:00,BP,Channel: 50 - Commercial,CHESAPEAKE VA - BUCKEYE (PLANT 9483),MID-GRADE,-1,5442,3,0,1,0,-1,0,0,w2,-1,0,0,-1,5986,-1,Available,-1,100,110%,110,-1,-1,-1,w2,0,2015-08-12 00:00:00,-1,Contract,-1,-1,5442,-1,5986,-1,0,-1,0,-1,2781752,2015-08-05 00:00:00,2015-08-05 19:00:09,-1,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,5442,-1,0,5986,True,True,0,0,0,0,-1,0,5986,-1,-1,-1,-1,-1,0,5442.0,777.0,24087.0,-1,0,0
2015-08-06,2015-08-06 00:00:00,BP,Channel: 50 - Commercial,CHESAPEAKE VA - BUCKEYE (PLANT 9483),MID-GRADE,-1,5442,0,-1,0,-1,-1,5500,0,w2,-1,0,5500,-1,5986,-1,Available,-1,100,110%,110,-1,-1,-1,w2,0,2015-08-12 00:00:00,-1,Contract,-1,-1,5442,-1,486,-1,0,-1,0,-1,2842152,2015-08-06 00:00:00,2015-08-06 22:00:07,-1,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,5442,-1,0,5986,False,False,0,0,0,0,-1,0,486,-1,-1,-1,-1,-1,0,5442.0,777.0,24087.0,-1,0,0
2015-08-07,2015-08-07 00:00:00,BP,Channel: 50 - Commercial,CHESAPEAKE VA - BUCKEYE (PLANT 9483),MID-GRADE,-1,5442,0,-1,0,-1,-1,7106,0,w2,-1,0,7106,-1,5986,-1,Out,-1,100,110%,110,-1,-1,-1,w2,0,2015-08-12 00:00:00,-1,Contract,-1,-1,5442,-1,-1120,-1,0,-1,0,-1,2895491,2015-08-07 00:00:00,2015-08-07 22:00:06,-1,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,5442,-1,0,5986,False,False,0,0,0,0,-1,0,-1120,-1,-1,-1,-1,-1,0,5442.0,777.0,24087.0,-1,0,0
2015-08-08,2015-08-08 00:00:00,BP,Channel: 50 - Commercial,CHESAPEAKE VA - BUCKEYE (PLANT 9483),MID-GRADE,-1,5442,0,-1,0,-1,-1,7106,0,w2,-1,0,7106,-1,5986,-1,Out,-1,100,110%,110,-1,-1,-1,w2,0,2015-08-12 00:00:00,-1,Contract,-1,-1,5442,-1,-1120,-1,0,-1,0,-1,2951452,2015-08-08 00:00:00,2015-08-08 22:00:06,-1,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,5442,-1,0,5986,False,False,0,0,0,0,-1,0,-1120,-1,-1,-1,-1,-1,0,5442.0,777.0,24087.0,-1,0,0
2015-08-09,2015-08-09 00:00:00,BP,Channel: 50 - Commercial,CHESAPEAKE VA - BUCKEYE (PLANT 9483),MID-GRADE,-1,5442,0,-1,0,-1,-1,7106,0,w2,-1,0,7106,-1,5986,-1,Out,-1,100,110%,110,-1,-1,-1,w2,0,2015-08-12 00:00:00,-1,Contract,-1,-1,5442,-1,-1120,-1,0,-1,0,-1,3003448,2015-08-09 00:00:00,2015-08-09 22:01:06,-1,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,5442,-1,0,5986,False,False,0,0,0,0,-1,0,-1120,-1,-1,-1,-1,-1,0,5442.0,777.0,24087.0,-1,0,0
2015-08-10,2015-08-10 00:00:00,BP,Channel: 50 - Commercial,CHESAPEAKE VA - BUCKEYE (PLANT 9483),MID-GRADE,-1,5442,0,-1,0,-1,-1,7106,0,w2,-1,0,7106,-1,5986,-1,Out,-1,100,110%,110,-1,-1,-1,w2,0,2015-08-12 00:00:00,-1,Contract,-1,-1,5442,-1,-1120,-1,0,-1,0,-1,3064067,2015-08-10 00:00:00,2015-08-10 22:01:05,-1,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,5442,-1,0,5986,False,False,0,0,0,0,-1,0,-1120,-1,-1,-1,-1,-1,0,5442.0,777.0,24087.0,-1,0,0
