,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Daily,base_gallons_Monthly,base_gallons_Weekly,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Daily,beginning_gallons_Monthly,beginning_gallons_Weekly,en_allocation_status_Daily,en_allocation_status_Monthly,en_allocation_status_Weekly,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Daily,alerts_ratability_Monthly,alerts_ratability_Weekly,next_refresh_date_Daily,next_refresh_date_Monthly,Week_switch,Modified_NRD,next_refresh_date_Weekly,en_account_type_Daily,en_account_type_Monthly,en_account_type_Weekly,NRB_Daily,next_refresh_base_gallons_Daily,NRB_Monthly,next_refresh_base_gallons_Monthly,next_refresh_base_gallons_Weekly,remaining_gallons_Daily,remaining_gallons_Monthly,remaining_gallons_Weekly,additional_gallons_allowed_Daily,additional_gallons_allowed_Monthly,additional_gallons_allowed_Weekly,additional_gallons_remaining_Daily,additional_gallons_remaining_Monthly,additional_gallons_remaining_Weekly,staging_id_Daily,staging_id_Monthly,staging_id_Weekly,execution_date_Daily,execution_date_Monthly,execution_date_Weekly,customer_name_Daily,customer_name_Monthly,customer_name_Weekly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2015-07-01,2015-07-01 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106675 IW,COLTON CA KM TP - 00WM,Premium Conventional / E10,93,-1,649,0,0,0,0,0,-1,0,-1,3500,0,w1,0,0,3500,140,-1,909,Out,-1,Out,150%,150,-1,-1,140%,140,Below Trend,-1,Above Trend,07/02 00:00:00 PDT,-1,w1,0,2015-07-02 00:00:00,Contract,-1,Contract,93,93,7485,-1,649,140,-1,-2591,0,-1,0,0,-1,0,1193862,-1,1193863,2015-07-01 22:07:38,-1,2015-07-01 22:07:38,Mansfield,-1,Mansfield,93,-1,649,139,-1,908,True,True,0,False,0,True,140,-1,-2591,-1,-1,-1,-1.0,0.0,500,649.0,93.0,2883.0,-1.0,0,0
2015-07-02,2015-07-02 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106675 IW,COLTON CA KM TP - 00WM,Premium Conventional / E10,93,-1,649,3,0,0,0,0,-1,0,-1,0,0,w2,0,0,0,140,-1,909,Available,-1,Available,150%,150,-1,-1,140%,140,Below Trend,-1,Below Trend,07/03 00:00:00 PDT,-1,w2,0,2015-07-09 00:00:00,Contract,-1,Contract,93,93,7485,-1,649,140,-1,909,0,-1,0,0,-1,0,1230267,-1,1230268,2015-07-02 15:07:52,-1,2015-07-02 15:07:52,Mansfield,-1,Mansfield,93,-1,649,140,-1,909,True,True,0,True,0,True,140,-1,909,-1,-1,-1,-1.0,0.0,0,649.0,93.0,2883.0,-1.0,0,0
2015-07-03,2015-07-03 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106675 IW,COLTON CA KM TP - 00WM,Premium Conventional / E10,93,-1,649,3,0,0,0,0,-1,0,-1,0,0,w2,0,0,0,140,-1,909,Available,-1,Available,150%,150,-1,-1,140%,140,Below Trend,-1,Below Trend,07/04 00:00:00 PDT,-1,w2,0,2015-07-09 00:00:00,Contract,-1,Contract,93,93,7485,-1,649,140,-1,909,0,-1,0,0,-1,0,1240704,-1,1240705,2015-07-03 08:58:33,-1,2015-07-03 08:58:33,Mansfield,-1,Mansfield,93,-1,649,140,-1,909,True,True,0,True,0,True,140,-1,909,-1,-1,-1,-1.0,0.0,0,649.0,93.0,2883.0,-1.0,0,0
2015-07-04,2015-07-04 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106675 IW,COLTON CA KM TP - 00WM,Premium Conventional / E10,93,-1,649,3,0,0,0,0,-1,0,-1,0,0,w2,0,0,0,140,-1,909,Available,-1,Available,150%,150,-1,-1,140%,140,Below Trend,-1,Below Trend,07/05 00:00:00 PDT,-1,w2,0,2015-07-09 00:00:00,Contract,-1,Contract,93,93,7485,-1,649,140,-1,909,0,-1,0,0,-1,0,1252421,-1,1252422,2015-07-04 08:07:42,-1,2015-07-04 08:07:42,Mansfield,-1,Mansfield,93,-1,649,140,-1,909,True,True,0,True,0,True,140,-1,909,-1,-1,-1,-1.0,0.0,0,649.0,93.0,2883.0,-1.0,0,0
2015-07-05,2015-07-05 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106675 IW,COLTON CA KM TP - 00WM,Premium Conventional / E10,93,-1,649,3,0,0,0,0,-1,0,-1,0,0,w2,0,0,0,140,-1,909,Available,-1,Available,150%,150,-1,-1,140%,140,Below Trend,-1,Below Trend,07/06 00:00:00 PDT,-1,w2,0,2015-07-09 00:00:00,Contract,-1,Contract,93,93,7485,-1,649,140,-1,909,0,-1,0,0,-1,0,1262793,-1,1262794,2015-07-05 08:07:39,-1,2015-07-05 08:07:39,Mansfield,-1,Mansfield,93,-1,649,140,-1,909,True,True,0,True,0,True,140,-1,909,-1,-1,-1,-1.0,0.0,0,649.0,93.0,2883.0,-1.0,0,0
2015-07-06,2015-07-06 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106675 IW,COLTON CA KM TP - 00WM,Premium Conventional / E10,93,-1,649,3,0,0,0,0,-1,0,-1,0,0,w2,0,0,0,140,-1,909,Available,-1,Available,150%,150,-1,-1,140%,140,Below Trend,-1,Below Trend,07/07 00:00:00 PDT,-1,w2,0,2015-07-09 00:00:00,Contract,-1,Contract,93,93,7485,-1,649,140,-1,909,0,-1,0,0,-1,0,1273165,-1,1273166,2015-07-06 08:08:36,-1,2015-07-06 08:08:36,Mansfield,-1,Mansfield,93,-1,649,140,-1,909,True,True,0,True,0,True,140,-1,909,-1,-1,-1,-1.0,0.0,0,649.0,93.0,2883.0,-1.0,0,0
2015-07-07,2015-07-07 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106675 IW,COLTON CA KM TP - 00WM,Premium Conventional / E10,93,-1,649,3,0,0,0,0,-1,0,-1,0,0,w2,0,0,0,140,-1,909,Available,-1,Available,150%,150,-1,-1,140%,140,Below Trend,-1,Below Trend,07/08 00:00:00 PDT,-1,w2,0,2015-07-09 00:00:00,Contract,-1,Contract,93,93,7485,-1,649,140,-1,909,0,-1,0,0,-1,0,1293015,-1,1293016,2015-07-07 22:02:18,-1,2015-07-07 22:02:18,Mansfield,-1,Mansfield,93,-1,649,140,-1,909,True,True,0,True,0,True,140,-1,909,-1,-1,-1,-1.0,0.0,0,649.0,93.0,2883.0,-1.0,0,0
2015-07-08,2015-07-08 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106675 IW,COLTON CA KM TP - 00WM,Premium Conventional / E10,93,-1,649,0,0,0,0,0,-1,0,-1,0,0,w2,0,0,0,140,-1,909,Available,-1,Available,150%,150,-1,-1,140%,140,Below Trend,-1,Below Trend,07/09 00:00:00 PDT,-1,w2,0,2015-07-09 00:00:00,Contract,-1,Contract,93,93,7485,-1,649,140,-1,909,0,-1,0,0,-1,0,1314667,-1,1314668,2015-07-08 12:08:40,-1,2015-07-08 12:08:40,Mansfield,-1,Mansfield,93,-1,649,140,-1,909,True,True,0,True,0,True,140,-1,909,-1,-1,-1,-1.0,0.0,0,649.0,93.0,2883.0,-1.0,0,0
2015-07-09,2015-07-09 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106675 IW,COLTON CA KM TP - 00WM,Premium Conventional / E10,93,-1,649,3,0,0,0,0,-1,0,-1,0,0,w2,0,0,0,140,-1,909,Available,-1,Available,150%,150,-1,-1,140%,140,Below Trend,-1,Below Trend,07/10 00:00:00 PDT,-1,w3,0,2015-07-16 00:00:00,Contract,-1,Contract,93,93,7485,-1,649,140,-1,909,0,-1,0,0,-1,0,1324673,-1,1324674,2015-07-09 17:36:01,-1,2015-07-09 17:36:01,Mansfield,-1,Mansfield,93,-1,649,140,-1,909,True,True,0,True,0,True,140,-1,909,-1,-1,-1,-1.0,0.0,0,649.0,93.0,2883.0,-1.0,0,0
2015-07-10,2015-07-10 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106675 IW,COLTON CA KM TP - 00WM,Premium Conventional / E10,93,-1,649,3,0,0,0,0,-1,0,-1,0,0,w2,0,0,0,140,-1,909,Available,-1,Available,150%,150,-1,-1,140%,140,Below Trend,-1,Below Trend,07/11 00:00:00 PDT,-1,w3,0,2015-07-16 00:00:00,Contract,-1,Contract,93,93,7485,-1,649,140,-1,909,0,-1,0,0,-1,0,1377589,-1,1377590,2015-07-10 22:08:37,-1,2015-07-10 22:08:37,Mansfield,-1,Mansfield,93,-1,649,140,-1,909,True,True,0,True,0,True,140,-1,909,-1,-1,-1,-1.0,0.0,0,649.0,93.0,2883.0,-1.0,0,0
