,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Daily,base_gallons_Monthly,base_gallons_Weekly,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Daily,beginning_gallons_Monthly,beginning_gallons_Weekly,en_allocation_status_Daily,en_allocation_status_Monthly,en_allocation_status_Weekly,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Daily,alerts_ratability_Monthly,alerts_ratability_Weekly,next_refresh_date_Daily,next_refresh_date_Monthly,Week_switch,Modified_NRD,next_refresh_date_Weekly,en_account_type_Daily,en_account_type_Monthly,en_account_type_Weekly,NRB_Daily,next_refresh_base_gallons_Daily,NRB_Monthly,next_refresh_base_gallons_Monthly,next_refresh_base_gallons_Weekly,remaining_gallons_Daily,remaining_gallons_Monthly,remaining_gallons_Weekly,additional_gallons_allowed_Daily,additional_gallons_allowed_Monthly,additional_gallons_allowed_Weekly,additional_gallons_remaining_Daily,additional_gallons_remaining_Monthly,additional_gallons_remaining_Weekly,staging_id_Daily,staging_id_Monthly,staging_id_Weekly,execution_date_Daily,execution_date_Monthly,execution_date_Weekly,customer_name_Daily,customer_name_Monthly,customer_name_Weekly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2015-06-01,2015-06-01 00:00:00,Chevron,Contract CHV,1006 SACRAMENTO CA TRM CHEVRON,DIESEL #2,-1,-1,-1,0,-1,0,-1,-1,-1,0,-1,-1,0,w1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,w1,1,2015-06-03 00:00:00,-1,-1,-1,5084,-1,152519,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2015-06-01 00:00:00,2015-06-01 00:00:00,2015-06-01 00:00:00,-1,-1,-1,-1,-1,-1,-1,-1,-1,True,True,0,0,0,0,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,1,1
2015-06-02,2015-06-02 00:00:00,Chevron,Contract CHV,1006 SACRAMENTO CA TRM CHEVRON,DIESEL #2,-1,-1,-1,0,-1,0,-1,-1,-1,0,-1,-1,0,w1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,w1,1,2015-06-03 00:00:00,-1,-1,-1,5084,-1,152519,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2015-06-02 00:00:00,2015-06-02 00:00:00,2015-06-02 00:00:00,-1,-1,-1,-1,-1,-1,-1,-1,-1,False,False,0,0,0,0,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,0,0
2015-06-03,2015-06-03 00:00:00,Chevron,Contract CHV,1006 SACRAMENTO CA TRM CHEVRON,DIESEL #2,-1,-1,-1,6,7499,0,-1,-1,-1,0,-1,-1,6,w1,-1,0,7499,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,w2,1,2015-06-10 00:00:00,-1,-1,-1,5084,-1,152519,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2015-06-03 00:00:00,2015-06-03 00:00:00,2015-06-03 00:00:00,-1,-1,-1,-1,-1,-1,-1,-1,-1,False,True,0,0,0,0,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,0,0
2015-06-04,2015-06-04 00:00:00,Chevron,Contract CHV,1006 SACRAMENTO CA TRM CHEVRON,DIESEL #2,5084,152519,35588,3,0,3,0,0,14998,0,14998,7499,0,w1,0,0,7499,7626,167771,44485,Available,Available,Available,150%,150,110%,110,125%,125,Below Trend,Above Trend,Above Trend,06/05 00:00:00 PDT,07/01 00:00:00 PDT,w2,0,2015-06-10 00:00:00,Contract,Contract,Contract,5084,5084,152519,152519,35588,7626,152773,36986,0,0,0,0,0,0,41376,41378,41377,2015-06-04 06:16:02,2015-06-04 06:16:02,2015-06-04 06:16:02,Mansfield,Mansfield,Mansfield,5084,152519,35588,7626,167771,44485,False,True,0,0,0,0,7626,152773,36986,-1,-1,-1,74.0,0.0,0,35588.0,5084.0,152520.0,-1,0,0
2015-06-05,2015-06-05 00:00:00,Chevron,Contract CHV,1006 SACRAMENTO CA TRM CHEVRON,DIESEL #2,5084,152519,35588,0,7492,0,7492,7492,22490,0,22490,14991,0,w1,7492,0,14991,7626,167771,44485,Low,Available,Available,150%,150,110%,110,125%,125,Above Trend,Above Trend,Above Trend,06/05 00:00:00 PDT,07/01 00:00:00 PDT,w2,0,2015-06-10 00:00:00,Contract,Contract,Contract,5084,5084,152519,152519,35588,134,145281,29494,0,0,0,0,0,0,42331,42333,42332,2015-06-05 00:50:24,2015-06-05 00:50:24,2015-06-05 00:50:24,Mansfield,Mansfield,Mansfield,5084,152519,35588,7626,167771,44485,False,True,0,0,0,0,134,145281,29494,-1,-1,-1,88.0,0.0,0,35588.0,5084.0,152520.0,-1,0,0
2015-06-06,2015-06-06 00:00:00,Chevron,Contract CHV,1006 SACRAMENTO CA TRM CHEVRON,DIESEL #2,-1,-1,-1,0,-1,0,-1,-1,-1,0,-1,-1,0,w2,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,150,-1,110,-1,125,-1,-1,-1,-1,-1,w2,1,2015-06-10 00:00:00,-1,-1,-1,5084,-1,152519,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2015-06-06 00:00:00,2015-06-06 00:00:00,2015-06-06 00:00:00,-1,-1,-1,5084,152519,35588,7626,167771,44485,True,False,0,0,0,0,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,35588.0,5084.0,152520.0,-1,0,0
2015-06-07,2015-06-07 00:00:00,Chevron,Contract CHV,1006 SACRAMENTO CA TRM CHEVRON,DIESEL #2,-1,-1,-1,0,-1,0,-1,-1,-1,0,-1,-1,0,w2,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,150,-1,110,-1,125,-1,-1,-1,-1,-1,w2,1,2015-06-10 00:00:00,-1,-1,-1,5084,-1,152519,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2015-06-07 00:00:00,2015-06-07 00:00:00,2015-06-07 00:00:00,-1,-1,-1,-1,-1,-1,-1,-1,-1,False,False,0,0,0,0,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,0,0
2015-06-08,2015-06-08 00:00:00,Chevron,Contract CHV,1006 SACRAMENTO CA TRM CHEVRON,DIESEL #2,5084,152519,35588,1,0,3,0,0,29941,0,29941,22442,0,w2,0,0,22442,7626,167771,44485,Available,Available,Available,150%,150,110%,110,125%,125,Below Trend,On Target,On Target,06/09 00:00:00 PDT,07/01 00:00:00 PDT,w2,0,2015-06-10 00:00:00,Contract,Contract,Contract,5084,5084,152519,152519,35588,7626,137830,22043,0,0,0,0,0,0,44243,44245,44244,2015-06-08 12:53:20,2015-06-08 12:53:20,2015-06-08 12:53:20,Mansfield,Mansfield,Mansfield,5084,152519,35588,7626,167771,44485,False,False,0,0,0,0,7626,137830,22043,-1,-1,-1,74.0,0.0,0,35588.0,5084.0,152520.0,-1,0,0
2015-06-09,2015-06-09 00:00:00,Chevron,Contract CHV,1006 SACRAMENTO CA TRM CHEVRON,DIESEL #2,5084,152519,35588,1,7493,0,0,0,29941,0,29941,22442,1,w2,0,0,29935,7626,167771,44485,Available,Available,Available,150%,150,110%,110,125%,125,Below Trend,On Target,On Target,06/09 00:00:00 PDT,07/01 00:00:00 PDT,w2,0,2015-06-10 00:00:00,Contract,Contract,Contract,5084,5084,152519,152519,35588,7626,137830,22043,0,0,0,0,0,0,45263,45265,45264,2015-06-09 01:13:34,2015-06-09 01:13:34,2015-06-09 01:13:34,Mansfield,Mansfield,Mansfield,5084,152519,35588,7626,167771,44485,False,False,0,0,0,0,133,137830,14550,-1,-1,-1,65.0,0.0,0,35588.0,5084.0,152520.0,-1,0,0
2015-06-10,2015-06-10 00:00:00,Chevron,Contract CHV,1006 SACRAMENTO CA TRM CHEVRON,DIESEL #2,5084,152519,35588,0,7499,0,7499,7499,44933,0,44933,7499,0,w3,7499,0,7499,7626,167771,44485,Low,Available,Available,150%,150,110%,110,125%,125,Above Trend,Above Trend,Above Trend,06/11 00:00:00 PDT,07/01 00:00:00 PDT,w3,0,2015-06-17 00:00:00,Contract,Contract,Contract,5084,5084,152519,152519,35588,127,122838,36986,0,0,0,0,0,0,47909,47911,47910,2015-06-10 16:32:18,2015-06-10 16:32:18,2015-06-10 16:32:18,Mansfield,Mansfield,Mansfield,5084,152519,35588,7626,167771,44485,True,True,0,0,0,0,127,122838,36986,-1,-1,-1,88.0,200.0,0,35588.0,5084.0,152520.0,-1,0,0
