,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Daily,base_gallons_Monthly,base_gallons_Weekly,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Daily,beginning_gallons_Monthly,beginning_gallons_Weekly,en_allocation_status_Daily,en_allocation_status_Monthly,en_allocation_status_Weekly,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Daily,alerts_ratability_Monthly,alerts_ratability_Weekly,next_refresh_date_Daily,next_refresh_date_Monthly,Week_switch,Modified_NRD,next_refresh_date_Weekly,en_account_type_Daily,en_account_type_Monthly,en_account_type_Weekly,NRB_Daily,next_refresh_base_gallons_Daily,NRB_Monthly,next_refresh_base_gallons_Monthly,next_refresh_base_gallons_Weekly,remaining_gallons_Daily,remaining_gallons_Monthly,remaining_gallons_Weekly,additional_gallons_allowed_Daily,additional_gallons_allowed_Monthly,additional_gallons_allowed_Weekly,additional_gallons_remaining_Daily,additional_gallons_remaining_Monthly,additional_gallons_remaining_Weekly,staging_id_Daily,staging_id_Monthly,staging_id_Weekly,execution_date_Daily,execution_date_Monthly,execution_date_Weekly,customer_name_Daily,customer_name_Monthly,customer_name_Weekly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2016-01-01,2016-01-01 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 81505,Mechanicsburg PA - PPC,PBF 87,8285,252000,57995,1,0,3,0,0,0,0,0,8000,1,w1,0,0,0,12428,302400,69594,Available,Available,Available,150%,150,120%,120,120%,120,Below Trend,Below Trend,Above Trend,01/02 00:00:00 EST,02/01 00:00:00 EST,w1,0,2016-01-06 00:00:00,Contract,Contract,Contract,8285,8285,252000,252000,57995,12428,302400,61594,0,0,0,0,0,0,11389134,11389136,11389135,2016-01-01 22:18:59,2016-01-01 22:18:59,2016-01-01 22:18:59,Mansfield,Mansfield,Mansfield,8285,252000,57995,12427,302400,69594,False,True,0,True,0,True,12428,302400,69594,-1,-1,-1,-1,0.0,0,57995.0,8285.0,256835.0,-1,1,1
2016-01-02,2016-01-02 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 81505,Mechanicsburg PA - PPC,PBF 87,8285,252000,57995,1,0,3,0,0,0,0,0,8000,1,w1,0,0,0,12428,302400,69594,Available,Available,Available,150%,150,120%,120,120%,120,Below Trend,Below Trend,Above Trend,01/03 00:00:00 EST,02/01 00:00:00 EST,w1,0,2016-01-06 00:00:00,Contract,Contract,Contract,8285,8285,252000,252000,57995,12428,302400,61594,0,0,0,0,0,0,11441198,11441200,11441199,2016-01-02 22:14:10,2016-01-02 22:14:10,2016-01-02 22:14:10,Mansfield,Mansfield,Mansfield,8285,252000,57995,12428,302400,69594,False,True,0,True,0,True,12428,302400,69594,-1,-1,-1,-1,0.0,0,57995.0,8285.0,256835.0,-1,1,1
2016-01-03,2016-01-03 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 81505,Mechanicsburg PA - PPC,PBF 87,8285,252000,57995,1,0,3,0,0,0,0,0,8000,1,w1,0,0,0,12428,302400,69594,Available,Available,Available,150%,150,120%,120,120%,120,Below Trend,Below Trend,Above Trend,01/04 00:00:00 EST,02/01 00:00:00 EST,w1,0,2016-01-06 00:00:00,Contract,Contract,Contract,0,8285,252000,252000,57995,12428,302400,61594,0,0,0,0,0,0,11494246,11494248,11494247,2016-01-03 22:14:39,2016-01-03 22:14:39,2016-01-03 22:14:39,Mansfield,Mansfield,Mansfield,8285,252000,57995,12428,302400,69594,False,True,0,True,0,True,12428,302400,69594,-1,-1,-1,-1,0.0,0,57995.0,8285.0,256835.0,-1,1,1
2016-01-04,2016-01-04 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 81505,Mechanicsburg PA - PPC,PBF 87,0,252000,57995,1,0,3,0,0,0,0,0,8000,1,w1,0,0,0,0,302400,69594,Out,Available,Available,150%,150,120%,120,120%,120,Below Trend,Below Trend,Above Trend,01/05 00:00:00 EST,02/01 00:00:00 EST,w1,0,2016-01-06 00:00:00,Contract,Contract,Contract,0,0,252000,0,0,0,302400,61594,0,0,0,0,0,0,11618372,11618374,11618373,2016-01-04 22:27:42,2016-01-04 22:27:42,2016-01-04 22:27:42,Mansfield,Mansfield,Mansfield,0,252000,57995,0,302400,69594,False,True,0,True,0,True,0,302400,69594,-1,-1,-1,-1,-1.0,0,57995.0,8285.0,256835.0,-1,1,1
2016-01-05,2016-01-05 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 81505,Mechanicsburg PA - PPC,PBF 87,0,252000,57995,1,0,0,0,0,0,0,0,8000,1,w1,0,0,0,0,302400,69594,Out,Available,Available,150%,150,120%,120,120%,120,Below Trend,Below Trend,Above Trend,01/06 00:00:00 EST,02/01 00:00:00 EST,w1,0,2016-01-06 00:00:00,Contract,Contract,Contract,0,0,252000,0,0,0,302400,61594,0,0,0,0,0,0,11792207,11792209,11792208,2016-01-05 22:20:03,2016-01-05 22:20:03,2016-01-05 22:20:03,Mansfield,Mansfield,Mansfield,0,252000,57995,0,302400,69594,False,True,0,True,0,True,0,302400,69594,-1,-1,-1,-1,-1.0,0,57995.0,8285.0,256835.0,-1,1,1
2016-01-06,2016-01-06 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 81505,Mechanicsburg PA - PPC,PBF 87,0,252000,0,1,0,0,0,0,0,0,0,0,1,w2,0,0,0,0,302400,0,Out,Available,Out,150%,150,120%,120,120%,120,Below Trend,Below Trend,Below Trend,01/07 00:00:00 EST,02/01 00:00:00 EST,w2,0,2016-01-13 00:00:00,Contract,Contract,Contract,0,0,252000,0,0,0,302400,0,0,0,0,0,0,0,11801456,11801458,11801457,2016-01-06 04:22:31,2016-01-06 04:22:31,2016-01-06 04:22:31,Mansfield,Mansfield,Mansfield,0,252000,0,0,302400,0,True,True,0,True,0,True,0,302400,0,-1,-1,-1,-1,-1.0,-1,0.0,0.0,0.0,-1,1,1
2016-01-07,2016-01-07 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 81505,Mechanicsburg PA - PPC,PBF 87,0,252000,0,1,0,0,0,0,0,0,0,0,1,w2,0,0,0,0,302400,0,Out,Available,Out,150%,150,120%,120,120%,120,Below Trend,Below Trend,Below Trend,01/08 00:00:00 EST,02/01 00:00:00 EST,w2,0,2016-01-13 00:00:00,Contract,Contract,Contract,0,0,252000,0,0,0,302400,0,0,0,0,0,0,0,12104463,12104465,12104464,2016-01-07 22:13:41,2016-01-07 22:13:41,2016-01-07 22:13:41,Mansfield,Mansfield,Mansfield,0,252000,0,0,302400,0,True,True,0,True,0,True,0,302400,0,-1,-1,-1,-1,-1.0,-1,0.0,0.0,0.0,-1,1,1
2016-01-08,2016-01-08 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 81505,Mechanicsburg PA - PPC,PBF 87,0,252000,0,1,0,0,0,0,0,0,0,0,1,w2,0,0,0,0,302400,0,Out,Available,Out,150%,150,120%,120,120%,120,Below Trend,Below Trend,Below Trend,01/09 00:00:00 EST,02/01 00:00:00 EST,w2,0,2016-01-13 00:00:00,Contract,Contract,Contract,0,0,252000,0,0,0,302400,0,0,0,0,0,0,0,12255967,12255969,12255968,2016-01-08 22:20:56,2016-01-08 22:20:56,2016-01-08 22:20:56,Mansfield,Mansfield,Mansfield,0,252000,0,0,302400,0,True,True,0,True,0,True,0,302400,0,-1,-1,-1,-1,-1.0,-1,0.0,0.0,0.0,-1,1,1
2016-01-09,2016-01-09 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 81505,Mechanicsburg PA - PPC,PBF 87,0,252000,0,1,0,0,0,0,0,0,0,0,1,w2,0,0,0,0,302400,0,Out,Available,Out,150%,150,120%,120,120%,120,Below Trend,Below Trend,Below Trend,01/10 00:00:00 EST,02/01 00:00:00 EST,w2,0,2016-01-13 00:00:00,Contract,Contract,Contract,0,0,252000,0,0,0,302400,0,0,0,0,0,0,0,12412455,12412457,12412456,2016-01-09 22:20:48,2016-01-09 22:20:48,2016-01-09 22:20:48,Mansfield,Mansfield,Mansfield,0,252000,0,0,302400,0,True,True,0,True,0,True,0,302400,0,-1,-1,-1,-1,-1.0,-1,0.0,0.0,0.0,-1,1,1
2016-01-10,2016-01-10 00:00:00,PBF,MANSFIELD OIL COMPANY CONTRACT 81505,Mechanicsburg PA - PPC,PBF 87,0,252000,0,1,0,0,0,0,0,0,0,0,1,w2,0,0,0,0,302400,0,Out,Available,Out,150%,150,120%,120,120%,120,Below Trend,Below Trend,Below Trend,01/11 00:00:00 EST,02/01 00:00:00 EST,w2,0,2016-01-13 00:00:00,Contract,Contract,Contract,0,0,252000,0,0,0,302400,0,0,0,0,0,0,0,12563514,12563516,12563515,2016-01-10 22:21:00,2016-01-10 22:21:00,2016-01-10 22:21:00,Mansfield,Mansfield,Mansfield,0,252000,0,0,302400,0,True,True,0,True,0,True,0,302400,0,-1,-1,-1,-1,-1.0,-1,0.0,0.0,0.0,-1,1,1
