,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Daily,base_gallons_Monthly,base_gallons_Weekly,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Daily,beginning_gallons_Monthly,beginning_gallons_Weekly,en_allocation_status_Daily,en_allocation_status_Monthly,en_allocation_status_Weekly,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Daily,alerts_ratability_Monthly,alerts_ratability_Weekly,next_refresh_date_Daily,next_refresh_date_Monthly,Week_switch,Modified_NRD,next_refresh_date_Weekly,en_account_type_Daily,en_account_type_Monthly,en_account_type_Weekly,NRB_Daily,next_refresh_base_gallons_Daily,NRB_Monthly,next_refresh_base_gallons_Monthly,next_refresh_base_gallons_Weekly,remaining_gallons_Daily,remaining_gallons_Monthly,remaining_gallons_Weekly,additional_gallons_allowed_Daily,additional_gallons_allowed_Monthly,additional_gallons_allowed_Weekly,additional_gallons_remaining_Daily,additional_gallons_remaining_Monthly,additional_gallons_remaining_Weekly,staging_id_Daily,staging_id_Monthly,staging_id_Weekly,execution_date_Daily,execution_date_Monthly,execution_date_Weekly,customer_name_Daily,customer_name_Monthly,customer_name_Weekly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2015-09-01,2015-09-01 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106675 WS,SIGNAL HILL CA SHELL EX - 02P4,Regular RFG,2742,-1,19191,3,0,0,0,0,-1,0,-1,0,0,w1,0,0,0,4113,-1,26867,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,09/02 00:00:00 PDT,-1,w1,0,2015-09-03 00:00:00,Contract,-1,Contract,2742,2742,-1,-1,19191,4113,-1,26867,0,-1,0,0,-1,0,4253603,-1,4253604,2015-09-01 19:06:50,2015-09-01 00:00:00,2015-09-01 19:06:50,Mansfield,-1,Mansfield,2742,-1,19191,4113,-1,26867,True,True,0,True,0,0,4113,-1,26867,-1,-1,-1,-1,0.0,0,19191,2742.0,82260.0,-1,0,0
2015-09-02,2015-09-02 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106675 WS,SIGNAL HILL CA SHELL EX - 02P4,Regular RFG,2742,-1,19191,0,0,0,0,0,-1,0,-1,0,0,w1,0,0,0,4113,-1,26867,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,09/03 00:00:00 PDT,-1,w1,0,2015-09-03 00:00:00,Contract,-1,Contract,2742,2742,-1,-1,19191,4113,-1,26867,0,-1,0,0,-1,0,4315187,-1,4315188,2015-09-02 19:06:49,2015-09-02 00:00:00,2015-09-02 19:06:49,Mansfield,-1,Mansfield,2742,-1,19191,4113,-1,26867,True,True,0,True,0,0,4113,-1,26867,-1,-1,-1,-1,0.0,0,19191,2742.0,82260.0,-1,0,0
2015-09-03,2015-09-03 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106675 WS,SIGNAL HILL CA SHELL EX - 02P4,Regular RFG,2742,-1,19191,3,0,0,0,0,-1,0,-1,0,0,w1,0,0,0,4113,-1,26867,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,09/04 00:00:00 PDT,-1,w2,0,2015-09-10 00:00:00,Contract,-1,Contract,2742,2742,-1,-1,19191,4113,-1,26867,0,-1,0,0,-1,0,4374532,-1,4374533,2015-09-03 22:06:48,2015-09-03 00:00:00,2015-09-03 22:06:48,Mansfield,-1,Mansfield,2742,-1,19191,4113,-1,26867,True,True,0,True,0,0,4113,-1,26867,-1,-1,-1,-1,0.0,0,19191,2742.0,82260.0,-1,0,0
2015-09-04,2015-09-04 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106675 WS,SIGNAL HILL CA SHELL EX - 02P4,Regular RFG,2742,-1,19191,3,0,0,0,0,-1,0,-1,0,0,w1,0,0,0,4113,-1,26867,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,09/05 00:00:00 PDT,-1,w2,0,2015-09-10 00:00:00,Contract,-1,Contract,2742,2742,-1,-1,19191,4113,-1,26867,0,-1,0,0,-1,0,4434516,-1,4434517,2015-09-04 22:06:46,2015-09-04 00:00:00,2015-09-04 22:06:46,Mansfield,-1,Mansfield,2742,-1,19191,4113,-1,26867,True,True,0,True,0,0,4113,-1,26867,-1,-1,-1,-1,0.0,0,19191,2742.0,82260.0,-1,0,0
2015-09-05,2015-09-05 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106675 WS,SIGNAL HILL CA SHELL EX - 02P4,Regular RFG,2742,-1,19191,3,0,0,0,0,-1,0,-1,0,0,w1,0,0,0,4113,-1,26867,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,09/06 00:00:00 PDT,-1,w2,0,2015-09-10 00:00:00,Contract,-1,Contract,2742,2742,-1,-1,19191,4113,-1,26867,0,-1,0,0,-1,0,4487540,-1,4487541,2015-09-05 22:06:49,2015-09-05 00:00:00,2015-09-05 22:06:49,Mansfield,-1,Mansfield,2742,-1,19191,4113,-1,26867,True,True,0,True,0,0,4113,-1,26867,-1,-1,-1,-1,0.0,0,19191,2742.0,82260.0,-1,0,0
2015-09-06,2015-09-06 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106675 WS,SIGNAL HILL CA SHELL EX - 02P4,Regular RFG,2742,-1,19191,3,0,0,0,0,-1,0,-1,0,0,w1,0,0,0,4113,-1,26867,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,09/07 00:00:00 PDT,-1,w2,0,2015-09-10 00:00:00,Contract,-1,Contract,2742,2742,-1,-1,19191,4113,-1,26867,0,-1,0,0,-1,0,4540305,-1,4540306,2015-09-06 22:07:52,2015-09-06 00:00:00,2015-09-06 22:07:52,Mansfield,-1,Mansfield,2742,-1,19191,4113,-1,26867,True,True,0,True,0,0,4113,-1,26867,-1,-1,-1,-1,0.0,0,19191,2742.0,82260.0,-1,0,0
2015-09-07,2015-09-07 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106675 WS,SIGNAL HILL CA SHELL EX - 02P4,Regular RFG,2742,-1,19191,3,0,0,0,0,-1,0,-1,0,0,w1,0,0,0,4113,-1,26867,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,09/08 00:00:00 PDT,-1,w2,0,2015-09-10 00:00:00,Contract,-1,Contract,2742,2742,-1,-1,19191,4113,-1,26867,0,-1,0,0,-1,0,4592500,-1,4592501,2015-09-07 22:06:47,2015-09-07 00:00:00,2015-09-07 22:06:47,Mansfield,-1,Mansfield,2742,-1,19191,4113,-1,26867,True,True,0,True,0,0,4113,-1,26867,-1,-1,-1,-1,0.0,0,19191,2742.0,82260.0,-1,0,0
2015-09-08,2015-09-08 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106675 WS,SIGNAL HILL CA SHELL EX - 02P4,Regular RFG,2742,-1,19191,3,0,0,0,0,-1,0,-1,0,0,w1,0,0,0,4113,-1,26867,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,09/09 00:00:00 PDT,-1,w2,0,2015-09-10 00:00:00,Contract,-1,Contract,2742,2742,-1,-1,19191,4113,-1,26867,0,-1,0,0,-1,0,4655657,-1,4655658,2015-09-08 22:05:04,2015-09-08 00:00:00,2015-09-08 22:05:04,Mansfield,-1,Mansfield,2742,-1,19191,4113,-1,26867,True,True,0,True,0,0,4113,-1,26867,-1,-1,-1,-1,0.0,0,19191,2742.0,82260.0,-1,0,0
2015-09-09,2015-09-09 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106675 WS,SIGNAL HILL CA SHELL EX - 02P4,Regular RFG,2742,-1,19191,0,0,0,0,0,-1,0,-1,0,0,w1,0,0,0,4113,-1,26867,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,09/10 00:00:00 PDT,-1,w2,0,2015-09-10 00:00:00,Contract,-1,Contract,2742,2742,-1,-1,19191,4113,-1,26867,0,-1,0,0,-1,0,4715453,-1,4715454,2015-09-09 22:04:27,2015-09-09 00:00:00,2015-09-09 22:04:27,Mansfield,-1,Mansfield,2742,-1,19191,4113,-1,26867,True,True,0,True,0,0,4113,-1,26867,-1,-1,-1,-1,0.0,0,19191,2742.0,82260.0,-1,0,0
2015-09-10,2015-09-10 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106675 WS,SIGNAL HILL CA SHELL EX - 02P4,Regular RFG,2742,-1,19191,3,8600,0,8600,8600,-1,0,-1,8600,0,w1,8600,0,8600,4113,-1,26867,Out,-1,Out,150%,150,-1,100,140%,140,Above Trend,-1,Above Trend,09/11 00:00:00 PDT,-1,w3,0,2015-09-17 00:00:00,Contract,-1,Contract,2742,2742,-1,-1,19191,-4487,-1,18267,0,-1,0,0,-1,0,4770550,-1,4770551,2015-09-10 22:07:26,2015-09-10 00:00:00,2015-09-10 22:07:26,Mansfield,-1,Mansfield,2742,-1,19191,4113,-1,26867,True,True,8600,True,0,0,-4487,-1,18267,-1,-1,-1,-1,400.0,0,19191,2742.0,82260.0,-1,0,0
