,supplier_name,en_account_type,alerts_ratability,en_allocation_status,percentage_allocation,account_type,base_gallons,beginning_gallons,supplier_terminal_name,lifted_gallons,remaining_gallons,additional_gallons_allowed,additional_gallons_remaining,next_refresh_date,next_refresh_base_gallons,product_name,period,batchno,execution_date,staging_id,customer_name,date
0,Exxon,Contract,,Unknown,150%,I&W,518,777,COLTON CA KM TP - 00WM,0,777,0,0,06/05 00:00:00 PDT,518,Premium Conventional / E10,Daily,1,2015-06-05 00:51:11,42231,Mansfield,2015-06-05
1,Exxon,Contract,,Unknown,140%,I&W,3628,5079,COLTON CA KM TP - 00WM,0,5079,0,0,06/11 00:00:00 PDT,3628,Premium Conventional / E10,Weekly,1,2015-06-05 00:51:11,42232,Mansfield,2015-06-05
2,Exxon,Contract,,Unknown,150%,I&W,518,777,COLTON CA KM TP - 00WM,0,777,0,0,06/09 00:00:00 PDT,518,Premium Conventional / E10,Daily,2,2015-06-08 12:53:59,44143,Mansfield,2015-06-08
3,Exxon,Contract,,Unknown,140%,I&W,3628,5079,COLTON CA KM TP - 00WM,0,5079,0,0,06/11 00:00:00 PDT,3628,Premium Conventional / E10,Weekly,2,2015-06-08 12:53:59,44144,Mansfield,2015-06-08
4,Exxon,Contract,,Unknown,150%,I&W,518,777,COLTON CA KM TP - 00WM,1802,-1025,0,0,06/11 00:00:00 PDT,518,Premium Conventional / E10,Daily,3,2015-06-10 16:49:44,48220,Mansfield,2015-06-10
5,Exxon,Contract,,Unknown,140%,I&W,3628,5079,COLTON CA KM TP - 00WM,1802,3277,0,0,06/11 00:00:00 PDT,3628,Premium Conventional / E10,Weekly,3,2015-06-10 16:49:44,48221,Mansfield,2015-06-10
6,Exxon,Contract,,Unknown,125%,I&W,3443,4304,COLTON CA KM TP - 00WM,0,4304,0,0,06/05 00:00:00 PDT,3443,Regular RFG,Daily,1,2015-06-05 00:51:11,42233,Mansfield,2015-06-05
7,Exxon,Contract,,Unknown,110%,I&W,24103,26513,COLTON CA KM TP - 00WM,0,26513,0,0,06/11 00:00:00 PDT,24103,Regular RFG,Weekly,1,2015-06-05 00:51:11,42234,Mansfield,2015-06-05
8,Exxon,Contract,,Unknown,100%,I&W,3443,3443,COLTON CA KM TP - 00WM,0,3443,0,0,06/09 00:00:00 PDT,3443,Regular RFG,Daily,2,2015-06-08 12:53:59,44145,Mansfield,2015-06-08
9,Exxon,Contract,,Unknown,100%,I&W,24103,24103,COLTON CA KM TP - 00WM,0,24103,0,0,06/11 00:00:00 PDT,24103,Regular RFG,Weekly,2,2015-06-08 12:53:59,44146,Mansfield,2015-06-08
10,Exxon,Contract,,Unknown,100%,I&W,3443,3443,COLTON CA KM TP - 00WM,3203,240,0,0,06/11 00:00:00 PDT,3443,Regular RFG,Daily,3,2015-06-10 16:49:44,48222,Mansfield,2015-06-10
11,Exxon,Contract,,Unknown,100%,I&W,24103,24103,COLTON CA KM TP - 00WM,8116,15987,0,0,06/11 00:00:00 PDT,24103,Regular RFG,Weekly,3,2015-06-10 16:49:44,48223,Mansfield,2015-06-10
12,Exxon,Contract,,Unknown,150%,I&W,18683,28025,LAS VEGAS  NV PRO-PETRO TP - 02BZ,48054,0,35000,14970,06/05 00:00:00 PDT,18683,Regular Conventional  / E10,Daily,1,2015-06-05 00:51:11,42235,Mansfield,2015-06-05
13,Exxon,Contract,,Unknown,140%,I&W,130783,183096,LAS VEGAS  NV PRO-PETRO TP - 02BZ,48054,155072,35000,14970,06/11 00:00:00 PDT,130783,Regular Conventional  / E10,Weekly,1,2015-06-05 00:51:11,42236,Mansfield,2015-06-05
14,Exxon,Contract,,Unknown,100%,I&W,18683,18683,LAS VEGAS  NV PRO-PETRO TP - 02BZ,9303,9380,0,0,06/09 00:00:00 PDT,18683,Regular Conventional  / E10,Daily,2,2015-06-08 12:53:59,44147,Mansfield,2015-06-08
15,Exxon,Contract,,Unknown,100%,I&W,130783,130783,LAS VEGAS  NV PRO-PETRO TP - 02BZ,178746,15921,0,0,06/11 00:00:00 PDT,130783,Regular Conventional  / E10,Weekly,2,2015-06-08 12:53:59,44148,Mansfield,2015-06-08
16,Exxon,Contract,,Unknown,100%,I&W,18683,18683,LAS VEGAS  NV PRO-PETRO TP - 02BZ,8500,18683,8000,500,06/11 00:00:00 PDT,18683,Regular Conventional  / E10,Daily,3,2015-06-10 16:49:44,48224,Mansfield,2015-06-10
17,Exxon,Contract,,Unknown,100%,I&W,130783,130783,LAS VEGAS  NV PRO-PETRO TP - 02BZ,222946,0,8000,500,06/11 00:00:00 PDT,130783,Regular Conventional  / E10,Weekly,3,2015-06-10 16:49:44,48225,Mansfield,2015-06-10
18,Exxon,Contract,,Unknown,150%,I&W,520,780,MISSION VALLEY CA KM TP - 00KQ,0,780,0,0,06/05 00:00:00 PDT,520,Premium Conventional / E10,Daily,1,2015-06-05 00:51:11,42237,Mansfield,2015-06-05
19,Exxon,Contract,,Unknown,140%,I&W,3640,5096,MISSION VALLEY CA KM TP - 00KQ,0,5096,0,0,06/11 00:00:00 PDT,3640,Premium Conventional / E10,Weekly,1,2015-06-05 00:51:11,42238,Mansfield,2015-06-05
20,Exxon,Contract,,Unknown,150%,I&W,520,780,MISSION VALLEY CA KM TP - 00KQ,0,780,0,0,06/09 00:00:00 PDT,520,Premium Conventional / E10,Daily,2,2015-06-08 12:53:59,44149,Mansfield,2015-06-08
21,Exxon,Contract,,Unknown,140%,I&W,3640,5096,MISSION VALLEY CA KM TP - 00KQ,1000,4096,0,0,06/11 00:00:00 PDT,3640,Premium Conventional / E10,Weekly,2,2015-06-08 12:53:59,44150,Mansfield,2015-06-08
22,Exxon,Contract,,Unknown,150%,I&W,520,780,MISSION VALLEY CA KM TP - 00KQ,0,780,0,0,06/11 00:00:00 PDT,520,Premium Conventional / E10,Daily,3,2015-06-10 16:49:44,48226,Mansfield,2015-06-10
23,Exxon,Contract,,Unknown,140%,I&W,3640,5096,MISSION VALLEY CA KM TP - 00KQ,4000,3096,0,0,06/11 00:00:00 PDT,3640,Premium Conventional / E10,Weekly,3,2015-06-10 16:49:44,48227,Mansfield,2015-06-10
24,Exxon,Contract,,Unknown,125%,I&W,5167,6459,MISSION VALLEY CA KM TP - 00KQ,0,6459,0,0,06/05 00:00:00 PDT,5167,Regular RFG,Daily,1,2015-06-05 00:51:11,42239,Mansfield,2015-06-05
25,Exxon,Contract,,Unknown,110%,I&W,36167,39784,MISSION VALLEY CA KM TP - 00KQ,0,39784,0,0,06/11 00:00:00 PDT,36167,Regular RFG,Weekly,1,2015-06-05 00:51:11,42240,Mansfield,2015-06-05
26,Exxon,Contract,,Unknown,125%,I&W,5167,6459,MISSION VALLEY CA KM TP - 00KQ,0,6459,0,0,06/09 00:00:00 PDT,5167,Regular RFG,Daily,2,2015-06-08 12:53:59,44151,Mansfield,2015-06-08
27,Exxon,Contract,,Unknown,110%,I&W,36167,39784,MISSION VALLEY CA KM TP - 00KQ,5900,33884,0,0,06/11 00:00:00 PDT,36167,Regular RFG,Weekly,2,2015-06-08 12:53:59,44152,Mansfield,2015-06-08
28,Exxon,Contract,,Unknown,125%,I&W,5167,6459,MISSION VALLEY CA KM TP - 00KQ,0,6459,0,0,06/11 00:00:00 PDT,5167,Regular RFG,Daily,3,2015-06-10 16:49:44,48228,Mansfield,2015-06-10
29,Exxon,Contract,,Unknown,110%,I&W,36167,39784,MISSION VALLEY CA KM TP - 00KQ,17701,26083,0,0,06/11 00:00:00 PDT,36167,Regular RFG,Weekly,3,2015-06-10 16:49:44,48229,Mansfield,2015-06-10
30,Exxon,Contract,,Unknown,100%,I&W,1790,1790,SAN ANTONIO TX (MOC) - 00K3,0,1790,0,0,06/05 00:00:00 CDT,1790,Reg CG DS,Daily,1,2015-06-05 00:51:11,42241,Mansfield,2015-06-05
31,Exxon,Contract,,Unknown,100%,I&W,1790,1790,SAN ANTONIO TX (MOC) - 00K3,0,1790,0,0,06/09 00:00:00 CDT,1790,Reg CG DS,Daily,2,2015-06-08 12:53:59,44153,Mansfield,2015-06-08
32,Exxon,Contract,,Unknown,100%,I&W,1790,1790,SAN ANTONIO TX (MOC) - 00K3,0,1790,0,0,06/11 00:00:00 CDT,1790,Reg CG DS,Daily,3,2015-06-10 16:49:44,48230,Mansfield,2015-06-10
33,Exxon,Contract,,Unknown,100%,I&W,621,621,SPOKANE WA (MOC) - 00KJ,0,621,0,0,06/05 00:00:00 PDT,621,Prem CBOB,Daily,1,2015-06-05 00:51:11,42242,Mansfield,2015-06-05
34,Exxon,Contract,,Unknown,100%,I&W,621,621,SPOKANE WA (MOC) - 00KJ,0,621,0,0,06/09 00:00:00 PDT,621,Prem CBOB,Daily,2,2015-06-08 12:53:59,44154,Mansfield,2015-06-08
35,Exxon,Contract,,Unknown,100%,I&W,621,621,SPOKANE WA (MOC) - 00KJ,0,621,0,0,06/11 00:00:00 PDT,621,Prem CBOB,Daily,3,2015-06-10 16:49:44,48231,Mansfield,2015-06-10
36,Exxon,Contract,,Unknown,100%,I&W,4153,4153,SPOKANE WA (MOC) - 00KJ,10600,-6447,0,0,06/05 00:00:00 PDT,4153,Reg CBOB,Daily,1,2015-06-05 00:51:11,42243,Mansfield,2015-06-05
37,Exxon,Contract,,Unknown,100%,I&W,4153,4153,SPOKANE WA (MOC) - 00KJ,0,4153,0,0,06/09 00:00:00 PDT,4153,Reg CBOB,Daily,2,2015-06-08 12:53:59,44155,Mansfield,2015-06-08
38,Exxon,Contract,,Unknown,100%,I&W,4153,4153,SPOKANE WA (MOC) - 00KJ,0,4153,0,0,06/11 00:00:00 PDT,4153,Reg CBOB,Daily,3,2015-06-10 16:49:44,48232,Mansfield,2015-06-10
39,Exxon,Contract,,Unknown,150%,I&W,14700,22050,ST LOUIS MO JD STREET TP - 00M7,25005,-2955,0,0,06/05 00:00:00 CDT,14700,ULSD(G),Daily,1,2015-06-05 00:51:11,42244,Mansfield,2015-06-05
