,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Daily,base_gallons_Weekly,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Daily,beginning_gallons_Weekly,en_allocation_status_Daily,en_allocation_status_Weekly,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Daily,alerts_ratability_Weekly,next_refresh_date_Daily,Week_switch,Modified_NRD,next_refresh_date_Weekly,en_account_type_Daily,en_account_type_Weekly,NRB_Daily,next_refresh_base_gallons_Daily,next_refresh_base_gallons_Weekly,remaining_gallons_Daily,remaining_gallons_Weekly,additional_gallons_allowed_Daily,additional_gallons_allowed_Weekly,additional_gallons_remaining_Daily,additional_gallons_remaining_Weekly,staging_id_Daily,staging_id_Weekly,execution_date_Daily,execution_date_Weekly,customer_name_Daily,customer_name_Weekly,base_gallons_Monthly,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,beginning_gallons_Monthly,en_allocation_status_Monthly,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,alerts_ratability_Monthly,next_refresh_date_Monthly,NRB_Monthly,next_refresh_base_gallons_Monthly,remaining_gallons_Monthly,additional_gallons_allowed_Monthly,additional_gallons_remaining_Monthly,execution_date_Monthly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2016-01-01,2016-01-01 00:00:00,BP,Channel: 50 - Commercial,WOOD RIVER IL - BP (PLANT 0449),PREMIUM RFG,-1,5446,1,0,3,3801,-1,3801,1,w1,-1,0,0,-1,5991,-1,Available,-1,100,110%,110,-1,-1,-1,w1,0,2016-01-06 00:00:00,-1,Contract,-1,-1,5383,-1,2190,-1,0,-1,0,-1,11386860,-1,2016-01-01 22:00:12,-1,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,5446,-1,0,5990,True,True,0,0,0,0,-1,0,5991,-1,-1,-1,-1,-1,0,5446.0,778.0,24118.0,-1,0,1
2016-01-02,2016-01-02 00:00:00,BP,Channel: 50 - Commercial,WOOD RIVER IL - BP (PLANT 0449),PREMIUM RFG,-1,5446,0,-1,0,-1,-1,3801,0,w1,-1,0,3801,-1,5991,-1,Available,-1,100,110%,110,-1,-1,-1,w1,0,2016-01-06 00:00:00,-1,Contract,-1,-1,5383,-1,2190,-1,0,-1,0,-1,11438924,-1,2016-01-02 22:00:08,-1,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,5446,-1,0,5991,False,False,0,0,0,0,-1,0,2190,-1,-1,-1,-1,-1,0,5446.0,778.0,24118.0,-1,0,0
2016-01-03,2016-01-03 00:00:00,BP,Channel: 50 - Commercial,WOOD RIVER IL - BP (PLANT 0449),PREMIUM RFG,-1,5446,0,-1,0,-1,-1,6000,0,w1,-1,0,6000,-1,5991,-1,Out,-1,100,110%,110,-1,-1,-1,w1,0,2016-01-06 00:00:00,-1,Contract,-1,-1,5383,-1,-9,-1,0,-1,0,-1,11491940,-1,2016-01-03 22:00:12,-1,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,5446,-1,0,5991,False,False,0,0,0,0,-1,0,-9,-1,-1,-1,-1,-1,0,5446.0,778.0,24118.0,-1,0,0
2016-01-04,2016-01-04 00:00:00,BP,Channel: 50 - Commercial,WOOD RIVER IL - BP (PLANT 0449),PREMIUM RFG,-1,5446,0,-1,0,-1,-1,6000,0,w1,-1,0,6000,-1,5991,-1,Available,-1,100,110%,110,-1,-1,-1,w1,0,2016-01-06 00:00:00,-1,Contract,-1,-1,5383,-1,-9,-1,8000,-1,8000,-1,11612333,-1,2016-01-04 22:05:35,-1,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,5446,-1,0,5991,False,False,0,0,0,0,-1,0,-9,-1,-1,8000,-1,-1,0,5446.0,778.0,24118.0,-1,0,0
2016-01-05,2016-01-05 00:00:00,BP,Channel: 50 - Commercial,WOOD RIVER IL - BP (PLANT 0449),PREMIUM RFG,-1,5446,0,-1,0,-1,-1,7904,0,w1,-1,0,7904,-1,5991,-1,Available,-1,100,110%,110,-1,-1,-1,w1,0,2016-01-06 00:00:00,-1,Contract,-1,-1,5383,-1,-9,-1,8000,-1,6096,-1,11790636,-1,2016-01-05 22:05:01,-1,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,5446,-1,0,5991,False,False,0,0,0,0,-1,0,-1913,-1,-1,8000,-1,-1,100,5446.0,778.0,24118.0,-1,0,0
2016-01-06,2016-01-06 00:00:00,BP,Channel: 50 - Commercial,WOOD RIVER IL - BP (PLANT 0449),PREMIUM RFG,-1,5383,3,0,1,0,-1,0,0,w2,-1,0,0,-1,5921,-1,Available,-1,100,110%,110,-1,-1,-1,w2,0,2016-01-13 00:00:00,-1,Contract,-1,-1,5383,-1,5921,-1,0,-1,0,-1,11943560,-1,2016-01-06 22:10:25,-1,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,5383,-1,0,5921,True,True,0,0,0,0,-1,0,5921,-1,-1,-1,-1,-1,0,5383.0,769.0,23839.0,-1,0,0
2016-01-07,2016-01-07 00:00:00,BP,Channel: 50 - Commercial,WOOD RIVER IL - BP (PLANT 0449),PREMIUM RFG,-1,5383,0,-1,0,-1,-1,4603,0,w2,-1,0,4603,-1,5921,-1,Available,-1,100,110%,110,-1,-1,-1,w2,0,2016-01-13 00:00:00,-1,Contract,-1,-1,5383,-1,1318,-1,0,-1,0,-1,12103778,-1,2016-01-07 22:05:20,-1,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,5383,-1,0,5921,False,False,0,0,0,0,-1,0,1318,-1,-1,-1,-1,-1,0,5383.0,769.0,23839.0,-1,0,0
2016-01-08,2016-01-08 00:00:00,BP,Channel: 50 - Commercial,WOOD RIVER IL - BP (PLANT 0449),PREMIUM RFG,-1,5383,0,-1,0,-1,-1,4603,0,w2,-1,0,4603,-1,5921,-1,Available,-1,100,110%,110,-1,-1,-1,w2,0,2016-01-13 00:00:00,-1,Contract,-1,-1,5383,-1,1318,-1,0,-1,0,-1,12253497,-1,2016-01-08 22:04:58,-1,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,5383,-1,0,5921,False,False,0,0,0,0,-1,0,1318,-1,-1,-1,-1,-1,0,5383.0,769.0,23839.0,-1,0,0
2016-01-09,2016-01-09 00:00:00,BP,Channel: 50 - Commercial,WOOD RIVER IL - BP (PLANT 0449),PREMIUM RFG,-1,5383,0,-1,0,-1,-1,4603,0,w2,-1,0,4603,-1,5921,-1,Available,-1,100,110%,110,-1,-1,-1,w2,0,2016-01-13 00:00:00,-1,Contract,-1,-1,5383,-1,1318,-1,0,-1,0,-1,12410496,-1,2016-01-09 22:05:36,-1,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,5383,-1,0,5921,False,False,0,0,0,0,-1,0,1318,-1,-1,-1,-1,-1,0,5383.0,769.0,23839.0,-1,0,0
2016-01-10,2016-01-10 00:00:00,BP,Channel: 50 - Commercial,WOOD RIVER IL - BP (PLANT 0449),PREMIUM RFG,-1,5383,0,-1,0,-1,-1,6804,0,w2,-1,0,6804,-1,5921,-1,Out,-1,100,110%,110,-1,-1,-1,w2,0,2016-01-13 00:00:00,-1,Contract,-1,-1,5383,-1,-883,-1,0,-1,0,-1,12566499,-1,2016-01-10 23:44:59,-1,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,5383,-1,0,5921,False,False,0,0,0,0,-1,0,-883,-1,-1,-1,-1,-1,0,5383.0,769.0,23839.0,-1,0,0
