,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Daily,base_gallons_Monthly,base_gallons_Weekly,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Daily,beginning_gallons_Monthly,beginning_gallons_Weekly,en_allocation_status_Daily,en_allocation_status_Monthly,en_allocation_status_Weekly,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Daily,alerts_ratability_Monthly,alerts_ratability_Weekly,next_refresh_date_Daily,next_refresh_date_Monthly,Week_switch,Modified_NRD,next_refresh_date_Weekly,en_account_type_Daily,en_account_type_Monthly,en_account_type_Weekly,NRB_Daily,next_refresh_base_gallons_Daily,NRB_Monthly,next_refresh_base_gallons_Monthly,next_refresh_base_gallons_Weekly,remaining_gallons_Daily,remaining_gallons_Monthly,remaining_gallons_Weekly,additional_gallons_allowed_Daily,additional_gallons_allowed_Monthly,additional_gallons_allowed_Weekly,additional_gallons_remaining_Daily,additional_gallons_remaining_Monthly,additional_gallons_remaining_Weekly,staging_id_Daily,staging_id_Monthly,staging_id_Weekly,execution_date_Daily,execution_date_Monthly,execution_date_Weekly,customer_name_Daily,customer_name_Monthly,customer_name_Weekly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2016-01-01,2016-01-01 00:00:00,Chevron,MANSFIELD OIL COMPANY : CHV5246494,1032 COLLINS MS TRM CHEVRON,DIESEL #2,42,1302,294,1,0,0,0,0,0,0,0,0,1,w1,0,0,0,63,1432,368,Available,Available,Available,150%,150,110%,110,125%,125,Below Trend,Below Trend,Below Trend,01/02 00:00:00 CST,02/01 00:00:00 CST,w1,0,2016-01-06 00:00:00,Contract,Contract,Contract,42,42,1302,1302,294,63,1432,368,0,0,0,0,0,0,11389453,11389455,11389454,2016-01-01 22:25:50,2016-01-01 22:25:50,2016-01-01 22:25:50,Mansfield,Mansfield,Mansfield,42,1302,294,63,1432,367,True,True,0,True,0,True,63,1432,368,-1,-1,-1,-1.0,0.0,0,294.0,42.0,1302.0,-1.0,1,1
2016-01-02,2016-01-02 00:00:00,Chevron,MANSFIELD OIL COMPANY : CHV5246494,1032 COLLINS MS TRM CHEVRON,DIESEL #2,42,1302,294,1,0,0,0,0,0,0,0,0,1,w1,0,0,0,63,1432,368,Available,Available,Available,150%,150,110%,110,125%,125,Below Trend,Below Trend,Below Trend,01/03 00:00:00 CST,02/01 00:00:00 CST,w1,0,2016-01-06 00:00:00,Contract,Contract,Contract,42,42,1302,1302,294,63,1432,368,0,0,0,0,0,0,11441390,11441392,11441391,2016-01-02 22:22:17,2016-01-02 22:22:17,2016-01-02 22:22:17,Mansfield,Mansfield,Mansfield,42,1302,294,63,1432,368,True,True,0,True,0,True,63,1432,368,-1,-1,-1,-1.0,0.0,0,294.0,42.0,1302.0,-1.0,1,1
2016-01-03,2016-01-03 00:00:00,Chevron,MANSFIELD OIL COMPANY : CHV5246494,1032 COLLINS MS TRM CHEVRON,DIESEL #2,42,1302,294,1,0,0,0,0,0,0,0,0,1,w1,0,0,0,63,1432,368,Available,Available,Available,150%,150,110%,110,125%,125,Below Trend,Below Trend,Below Trend,01/04 00:00:00 CST,02/01 00:00:00 CST,w1,0,2016-01-06 00:00:00,Contract,Contract,Contract,42,42,1302,1302,294,63,1432,368,0,0,0,0,0,0,11494438,11494440,11494439,2016-01-03 22:18:05,2016-01-03 22:18:05,2016-01-03 22:18:05,Mansfield,Mansfield,Mansfield,42,1302,294,63,1432,368,True,True,0,True,0,True,63,1432,368,-1,-1,-1,-1.0,0.0,0,294.0,42.0,1302.0,-1.0,1,1
2016-01-04,2016-01-04 00:00:00,Chevron,MANSFIELD OIL COMPANY : CHV5246494,1032 COLLINS MS TRM CHEVRON,DIESEL #2,42,1302,294,1,0,0,0,0,0,0,0,0,1,w1,0,0,0,63,1432,368,Available,Available,Available,150%,150,110%,110,125%,125,Below Trend,Below Trend,Below Trend,01/05 00:00:00 CST,02/01 00:00:00 CST,w1,0,2016-01-06 00:00:00,Contract,Contract,Contract,42,42,1302,1302,294,63,1432,368,0,0,0,0,0,0,11618818,11618820,11618819,2016-01-04 22:35:19,2016-01-04 22:35:19,2016-01-04 22:35:19,Mansfield,Mansfield,Mansfield,42,1302,294,63,1432,368,True,True,0,True,0,True,63,1432,368,-1,-1,-1,-1.0,0.0,0,294.0,42.0,1302.0,-1.0,1,1
2016-01-05,2016-01-05 00:00:00,Chevron,MANSFIELD OIL COMPANY : CHV5246494,1032 COLLINS MS TRM CHEVRON,DIESEL #2,42,1302,294,1,0,0,0,0,0,0,0,0,1,w1,0,0,0,63,1432,368,Available,Available,Available,150%,150,110%,110,125%,125,Below Trend,Below Trend,Below Trend,01/06 00:00:00 CST,02/01 00:00:00 CST,w1,0,2016-01-06 00:00:00,Contract,Contract,Contract,42,42,1302,1302,294,63,1432,368,0,0,0,0,0,0,11791573,11791575,11791574,2016-01-05 22:15:18,2016-01-05 22:15:18,2016-01-05 22:15:18,Mansfield,Mansfield,Mansfield,42,1302,294,63,1432,368,True,True,0,True,0,True,63,1432,368,-1,-1,-1,-1.0,0.0,0,294.0,42.0,1302.0,-1.0,1,1
2016-01-06,2016-01-06 00:00:00,Chevron,MANSFIELD OIL COMPANY : CHV5246494,1032 COLLINS MS TRM CHEVRON,DIESEL #2,42,1302,294,1,0,0,0,0,0,0,0,0,1,w1,0,0,0,63,1432,368,Available,Available,Available,150%,150,110%,110,125%,125,Below Trend,Below Trend,Below Trend,01/07 00:00:00 CST,02/01 00:00:00 CST,w2,0,2016-01-13 00:00:00,Contract,Contract,Contract,42,42,1302,1302,294,63,1432,368,0,0,0,0,0,0,11944248,11944250,11944249,2016-01-06 22:16:57,2016-01-06 22:16:57,2016-01-06 22:16:57,Mansfield,Mansfield,Mansfield,42,1302,294,63,1432,368,True,True,0,True,0,True,63,1432,368,-1,-1,-1,-1.0,0.0,0,294.0,42.0,1302.0,-1.0,1,1
2016-01-07,2016-01-07 00:00:00,Chevron,MANSFIELD OIL COMPANY : CHV5246494,1032 COLLINS MS TRM CHEVRON,DIESEL #2,42,1302,294,1,0,0,0,0,0,0,0,0,1,w1,0,0,0,63,1432,368,Available,Available,Available,150%,150,110%,110,125%,125,Below Trend,Below Trend,Below Trend,01/08 00:00:00 CST,02/01 00:00:00 CST,w2,0,2016-01-13 00:00:00,Contract,Contract,Contract,42,42,1302,1302,294,63,1432,368,0,0,0,0,0,0,12103829,12103831,12103830,2016-01-07 22:06:45,2016-01-07 22:06:45,2016-01-07 22:06:45,Mansfield,Mansfield,Mansfield,42,1302,294,63,1432,368,True,True,0,True,0,True,63,1432,368,-1,-1,-1,-1.0,0.0,0,294.0,42.0,1302.0,-1.0,1,1
2016-01-08,2016-01-08 00:00:00,Chevron,MANSFIELD OIL COMPANY : CHV5246494,1032 COLLINS MS TRM CHEVRON,DIESEL #2,42,1302,294,1,0,0,0,0,0,0,0,0,1,w1,0,0,0,63,1432,368,Available,Available,Available,150%,150,110%,110,125%,125,Below Trend,Below Trend,Below Trend,01/09 00:00:00 CST,02/01 00:00:00 CST,w2,0,2016-01-13 00:00:00,Contract,Contract,Contract,42,42,1302,1302,294,63,1432,368,0,0,0,0,0,0,12255588,12255590,12255589,2016-01-08 22:16:49,2016-01-08 22:16:49,2016-01-08 22:16:49,Mansfield,Mansfield,Mansfield,42,1302,294,63,1432,368,True,True,0,True,0,True,63,1432,368,-1,-1,-1,-1.0,0.0,0,294.0,42.0,1302.0,-1.0,1,1
2016-01-09,2016-01-09 00:00:00,Chevron,MANSFIELD OIL COMPANY : CHV5246494,1032 COLLINS MS TRM CHEVRON,DIESEL #2,42,1302,294,1,0,0,0,0,0,0,0,0,1,w1,0,0,0,63,1432,368,Available,Available,Available,150%,150,110%,110,125%,125,Below Trend,Below Trend,Below Trend,01/10 00:00:00 CST,02/01 00:00:00 CST,w2,0,2016-01-13 00:00:00,Contract,Contract,Contract,42,42,1302,1302,294,63,1432,368,0,0,0,0,0,0,12411949,12411951,12411950,2016-01-09 22:14:57,2016-01-09 22:14:57,2016-01-09 22:14:57,Mansfield,Mansfield,Mansfield,42,1302,294,63,1432,368,True,True,0,True,0,True,63,1432,368,-1,-1,-1,-1.0,0.0,0,294.0,42.0,1302.0,-1.0,1,1
2016-01-10,2016-01-10 00:00:00,Chevron,MANSFIELD OIL COMPANY : CHV5246494,1032 COLLINS MS TRM CHEVRON,DIESEL #2,42,1302,294,1,0,0,0,0,0,0,0,0,1,w1,0,0,0,63,1432,368,Available,Available,Available,150%,150,110%,110,125%,125,Below Trend,Below Trend,Below Trend,01/11 00:00:00 CST,02/01 00:00:00 CST,w2,0,2016-01-13 00:00:00,Contract,Contract,Contract,42,42,1302,1302,294,63,1432,368,0,0,0,0,0,0,12563008,12563010,12563009,2016-01-10 22:15:35,2016-01-10 22:15:35,2016-01-10 22:15:35,Mansfield,Mansfield,Mansfield,42,1302,294,63,1432,368,True,True,0,True,0,True,63,1432,368,-1,-1,-1,-1.0,0.0,0,294.0,42.0,1302.0,-1.0,1,1
